Nation,Year,Unit,pop_lvst_initial_buffalo
argentina,2011,Head,0
argentina,2012,Head,0
argentina,2013,Head,0
argentina,2014,Head,0
argentina,2015,Head,0
argentina,2016,Head,0
argentina,2017,Head,0
argentina,2018,Head,0
argentina,2019,Head,0
bahamas,2011,Head,0
bahamas,2012,Head,0
bahamas,2013,Head,0
bahamas,2014,Head,0
bahamas,2015,Head,0
bahamas,2016,Head,0
bahamas,2017,Head,0
bahamas,2018,Head,0
bahamas,2019,Head,0
barbados,2011,Head,0
barbados,2012,Head,0
barbados,2013,Head,0
barbados,2014,Head,0
barbados,2015,Head,0
barbados,2016,Head,0
barbados,2017,Head,0
barbados,2018,Head,0
barbados,2019,Head,0
belize,2011,Head,0
belize,2012,Head,0
belize,2013,Head,0
belize,2014,Head,0
belize,2015,Head,0
belize,2016,Head,0
belize,2017,Head,0
belize,2018,Head,0
belize,2019,Head,0
bolivia,2011,Head,0
bolivia,2012,Head,0
bolivia,2013,Head,0
bolivia,2014,Head,0
bolivia,2015,Head,0
bolivia,2016,Head,0
bolivia,2017,Head,0
bolivia,2018,Head,0
bolivia,2019,Head,0
brazil,2011,Head,1278075
brazil,2012,Head,1261922
brazil,2013,Head,1332284
brazil,2014,Head,1319478
brazil,2015,Head,1370488
brazil,2016,Head,1371089
brazil,2017,Head,1375168
brazil,2018,Head,1389873
brazil,2019,Head,1433989
chile,2011,Head,0
chile,2012,Head,0
chile,2013,Head,0
chile,2014,Head,0
chile,2015,Head,0
chile,2016,Head,0
chile,2017,Head,0
chile,2018,Head,0
chile,2019,Head,0
colombia,2011,Head,270779
colombia,2012,Head,270779
colombia,2013,Head,270779
colombia,2014,Head,218352
colombia,2015,Head,234994
colombia,2016,Head,248951
colombia,2017,Head,292607
colombia,2018,Head,459086
colombia,2019,Head,544238
costa_rica,2011,Head,0
costa_rica,2012,Head,0
costa_rica,2013,Head,0
costa_rica,2014,Head,0
costa_rica,2015,Head,0
costa_rica,2016,Head,0
costa_rica,2017,Head,0
costa_rica,2018,Head,0
costa_rica,2019,Head,0
dominican_republic,2011,Head,0
dominican_republic,2012,Head,0
dominican_republic,2013,Head,0
dominican_republic,2014,Head,0
dominican_republic,2015,Head,0
dominican_republic,2016,Head,0
dominican_republic,2017,Head,0
dominican_republic,2018,Head,0
dominican_republic,2019,Head,0
ecuador,2011,Head,0
ecuador,2012,Head,0
ecuador,2013,Head,0
ecuador,2014,Head,0
ecuador,2015,Head,0
ecuador,2016,Head,0
ecuador,2017,Head,0
ecuador,2018,Head,0
ecuador,2019,Head,0
el_salvador,2011,Head,0
el_salvador,2012,Head,0
el_salvador,2013,Head,0
el_salvador,2014,Head,0
el_salvador,2015,Head,0
el_salvador,2016,Head,0
el_salvador,2017,Head,0
el_salvador,2018,Head,0
el_salvador,2019,Head,0
guatemala,2011,Head,0
guatemala,2012,Head,0
guatemala,2013,Head,0
guatemala,2014,Head,0
guatemala,2015,Head,0
guatemala,2016,Head,0
guatemala,2017,Head,0
guatemala,2018,Head,0
guatemala,2019,Head,0
guyana,2011,Head,0
guyana,2012,Head,0
guyana,2013,Head,0
guyana,2014,Head,0
guyana,2015,Head,0
guyana,2016,Head,0
guyana,2017,Head,0
guyana,2018,Head,0
guyana,2019,Head,0
haiti,2011,Head,0
haiti,2012,Head,0
haiti,2013,Head,0
haiti,2014,Head,0
haiti,2015,Head,0
haiti,2016,Head,0
haiti,2017,Head,0
haiti,2018,Head,0
haiti,2019,Head,0
honduras,2011,Head,0
honduras,2012,Head,0
honduras,2013,Head,0
honduras,2014,Head,0
honduras,2015,Head,0
honduras,2016,Head,0
honduras,2017,Head,0
honduras,2018,Head,0
honduras,2019,Head,0
jamaica,2011,Head,0
jamaica,2012,Head,0
jamaica,2013,Head,0
jamaica,2014,Head,0
jamaica,2015,Head,0
jamaica,2016,Head,0
jamaica,2017,Head,0
jamaica,2018,Head,0
jamaica,2019,Head,0
mexico,2011,Head,0
mexico,2012,Head,0
mexico,2013,Head,0
mexico,2014,Head,0
mexico,2015,Head,0
mexico,2016,Head,0
mexico,2017,Head,0
mexico,2018,Head,0
mexico,2019,Head,0
nicaragua,2011,Head,0
nicaragua,2012,Head,0
nicaragua,2013,Head,0
nicaragua,2014,Head,0
nicaragua,2015,Head,0
nicaragua,2016,Head,0
nicaragua,2017,Head,0
nicaragua,2018,Head,0
nicaragua,2019,Head,0
panama,2011,Head,0
panama,2012,Head,0
panama,2013,Head,0
panama,2014,Head,0
panama,2015,Head,0
panama,2016,Head,0
panama,2017,Head,0
panama,2018,Head,0
panama,2019,Head,0
paraguay,2011,Head,0
paraguay,2012,Head,0
paraguay,2013,Head,0
paraguay,2014,Head,0
paraguay,2015,Head,0
paraguay,2016,Head,0
paraguay,2017,Head,0
paraguay,2018,Head,0
paraguay,2019,Head,0
peru,2011,Head,0
peru,2012,Head,0
peru,2013,Head,0
peru,2014,Head,0
peru,2015,Head,0
peru,2016,Head,0
peru,2017,Head,0
peru,2018,Head,0
peru,2019,Head,0
suriname,2011,Head,760
suriname,2012,Head,719
suriname,2013,Head,743
suriname,2014,Head,817
suriname,2015,Head,865
suriname,2016,Head,786
suriname,2017,Head,844
suriname,2018,Head,905
suriname,2019,Head,891
trinidad_and_tobago,2011,Head,5900
trinidad_and_tobago,2012,Head,6000
trinidad_and_tobago,2013,Head,6100
trinidad_and_tobago,2014,Head,6200
trinidad_and_tobago,2015,Head,6295
trinidad_and_tobago,2016,Head,6385
trinidad_and_tobago,2017,Head,6106
trinidad_and_tobago,2018,Head,6174
trinidad_and_tobago,2019,Head,6209
uruguay,2011,Head,0
uruguay,2012,Head,0
uruguay,2013,Head,0
uruguay,2014,Head,0
uruguay,2015,Head,0
uruguay,2016,Head,0
uruguay,2017,Head,0
uruguay,2018,Head,0
uruguay,2019,Head,0
venezuela,2011,Head,0
venezuela,2012,Head,0
venezuela,2013,Head,0
venezuela,2014,Head,0
venezuela,2015,Head,0
venezuela,2016,Head,0
venezuela,2017,Head,0
venezuela,2018,Head,0
venezuela,2019,Head,0
