Area Code (FAO),Nation,Item,Year,Value,Unit,Element
9,Argentina,Maize,1961,4850000,tonnes,Production
9,Argentina,Maize,1962,5220000,tonnes,Production
9,Argentina,Maize,1963,4360000,tonnes,Production
9,Argentina,Maize,1964,5350000,tonnes,Production
9,Argentina,Maize,1965,5140000,tonnes,Production
9,Argentina,Maize,1966,7040000,tonnes,Production
9,Argentina,Maize,1967,8510000,tonnes,Production
9,Argentina,Maize,1968,6560000,tonnes,Production
9,Argentina,Maize,1969,6860000,tonnes,Production
9,Argentina,Maize,1970,9360000,tonnes,Production
9,Argentina,Maize,1971,9930000,tonnes,Production
9,Argentina,Maize,1972,5860000,tonnes,Production
9,Argentina,Maize,1973,9700000,tonnes,Production
9,Argentina,Maize,1974,9900000,tonnes,Production
9,Argentina,Maize,1975,7700000,tonnes,Production
9,Argentina,Maize,1976,5855000,tonnes,Production
9,Argentina,Maize,1977,8300000,tonnes,Production
9,Argentina,Maize,1978,9700000,tonnes,Production
9,Argentina,Maize,1979,8700000,tonnes,Production
9,Argentina,Maize,1980,6400000,tonnes,Production
9,Argentina,Maize,1981,12900000,tonnes,Production
9,Argentina,Maize,1982,9600000,tonnes,Production
9,Argentina,Maize,1983,9000000,tonnes,Production
9,Argentina,Maize,1984,9500000,tonnes,Production
9,Argentina,Maize,1985,11900000,tonnes,Production
9,Argentina,Maize,1986,12100000,tonnes,Production
9,Argentina,Maize,1987,9250000,tonnes,Production
9,Argentina,Maize,1988,9200000,tonnes,Production
9,Argentina,Maize,1989,4900000,tonnes,Production
9,Argentina,Maize,1990,5400000,tonnes,Production
9,Argentina,Maize,1991,7684800,tonnes,Production
9,Argentina,Maize,1992,10700500,tonnes,Production
9,Argentina,Maize,1993,10901000,tonnes,Production
9,Argentina,Maize,1994,10360000,tonnes,Production
9,Argentina,Maize,1995,11404041,tonnes,Production
9,Argentina,Maize,1996,10518290,tonnes,Production
9,Argentina,Maize,1997,15536820,tonnes,Production
9,Argentina,Maize,1998,19360656,tonnes,Production
9,Argentina,Maize,1999,13504100,tonnes,Production
9,Argentina,Maize,2000,16780650,tonnes,Production
9,Argentina,Maize,2001,15359397,tonnes,Production
9,Argentina,Maize,2002,14712079,tonnes,Production
9,Argentina,Maize,2003,15044529,tonnes,Production
9,Argentina,Maize,2004,14950825,tonnes,Production
9,Argentina,Maize,2005,20482572,tonnes,Production
9,Argentina,Maize,2006,14445538,tonnes,Production
9,Argentina,Maize,2007,21755364,tonnes,Production
9,Argentina,Maize,2008,22016926,tonnes,Production
9,Argentina,Maize,2009,13121380,tonnes,Production
9,Argentina,Maize,2010,22663095,tonnes,Production
9,Argentina,Maize,2011,23799830,tonnes,Production
9,Argentina,Maize,2012,21196637,tonnes,Production
9,Argentina,Maize,2013,32119211,tonnes,Production
9,Argentina,Maize,2014,33087165,tonnes,Production
9,Argentina,Maize,2015,33817744,tonnes,Production
9,Argentina,Maize,2016,39792854,tonnes,Production
9,Argentina,Maize,2017,49475895,tonnes,Production
9,Argentina,Maize,2018,43462323,tonnes,Production
9,Argentina,Maize,2019,56860704,tonnes,Production
9,Argentina,"Oil, maize",1961,2745,tonnes,Production
9,Argentina,"Oil, maize",1962,2523,tonnes,Production
9,Argentina,"Oil, maize",1963,2382,tonnes,Production
9,Argentina,"Oil, maize",1964,3061,tonnes,Production
9,Argentina,"Oil, maize",1965,3208,tonnes,Production
9,Argentina,"Oil, maize",1966,3214,tonnes,Production
9,Argentina,"Oil, maize",1967,3164,tonnes,Production
9,Argentina,"Oil, maize",1968,3154,tonnes,Production
9,Argentina,"Oil, maize",1969,3720,tonnes,Production
9,Argentina,"Oil, maize",1970,4097,tonnes,Production
9,Argentina,"Oil, maize",1971,4604,tonnes,Production
9,Argentina,"Oil, maize",1972,4716,tonnes,Production
9,Argentina,"Oil, maize",1973,5022,tonnes,Production
9,Argentina,"Oil, maize",1974,3762,tonnes,Production
9,Argentina,"Oil, maize",1975,3269,tonnes,Production
9,Argentina,"Oil, maize",1976,3175,tonnes,Production
9,Argentina,"Oil, maize",1977,3891,tonnes,Production
9,Argentina,"Oil, maize",1978,3548,tonnes,Production
9,Argentina,"Oil, maize",1979,4069,tonnes,Production
9,Argentina,"Oil, maize",1980,6041,tonnes,Production
9,Argentina,"Oil, maize",1981,5049,tonnes,Production
9,Argentina,"Oil, maize",1982,5815,tonnes,Production
9,Argentina,"Oil, maize",1983,5656,tonnes,Production
9,Argentina,"Oil, maize",1984,10736,tonnes,Production
9,Argentina,"Oil, maize",1985,9437,tonnes,Production
9,Argentina,"Oil, maize",1986,8541,tonnes,Production
9,Argentina,"Oil, maize",1987,5294,tonnes,Production
9,Argentina,"Oil, maize",1988,5276,tonnes,Production
9,Argentina,"Oil, maize",1989,15700,tonnes,Production
9,Argentina,"Oil, maize",1990,25700,tonnes,Production
9,Argentina,"Oil, maize",1991,26300,tonnes,Production
9,Argentina,"Oil, maize",1992,26900,tonnes,Production
9,Argentina,"Oil, maize",1993,28100,tonnes,Production
9,Argentina,"Oil, maize",1994,30800,tonnes,Production
9,Argentina,"Oil, maize",1995,30900,tonnes,Production
9,Argentina,"Oil, maize",1996,28100,tonnes,Production
9,Argentina,"Oil, maize",1997,30100,tonnes,Production
9,Argentina,"Oil, maize",1998,31000,tonnes,Production
9,Argentina,"Oil, maize",1999,31200,tonnes,Production
9,Argentina,"Oil, maize",2000,34000,tonnes,Production
9,Argentina,"Oil, maize",2001,32700,tonnes,Production
9,Argentina,"Oil, maize",2002,33500,tonnes,Production
9,Argentina,"Oil, maize",2003,34700,tonnes,Production
9,Argentina,"Oil, maize",2004,35700,tonnes,Production
9,Argentina,"Oil, maize",2005,35500,tonnes,Production
9,Argentina,"Oil, maize",2006,34000,tonnes,Production
9,Argentina,"Oil, maize",2007,35600,tonnes,Production
9,Argentina,"Oil, maize",2008,37500,tonnes,Production
9,Argentina,"Oil, maize",2009,37800,tonnes,Production
9,Argentina,"Oil, maize",2010,38200,tonnes,Production
9,Argentina,"Oil, maize",2011,38900,tonnes,Production
9,Argentina,"Oil, maize",2012,40900,tonnes,Production
9,Argentina,"Oil, maize",2013,39100,tonnes,Production
9,Argentina,"Oil, maize",2014,40700,tonnes,Production
9,Argentina,"Oil, maize",2015,41600,tonnes,Production
9,Argentina,"Oil, maize",2016,43500,tonnes,Production
9,Argentina,"Oil, maize",2017,45400,tonnes,Production
9,Argentina,"Oil, maize",2018,46800,tonnes,Production
12,Bahamas,Maize,1961,100,tonnes,Production
12,Bahamas,Maize,1962,150,tonnes,Production
12,Bahamas,Maize,1963,200,tonnes,Production
12,Bahamas,Maize,1964,250,tonnes,Production
12,Bahamas,Maize,1965,300,tonnes,Production
12,Bahamas,Maize,1966,430,tonnes,Production
12,Bahamas,Maize,1967,450,tonnes,Production
12,Bahamas,Maize,1968,470,tonnes,Production
12,Bahamas,Maize,1969,490,tonnes,Production
12,Bahamas,Maize,1970,510,tonnes,Production
12,Bahamas,Maize,1971,530,tonnes,Production
12,Bahamas,Maize,1972,550,tonnes,Production
12,Bahamas,Maize,1973,580,tonnes,Production
12,Bahamas,Maize,1974,595,tonnes,Production
12,Bahamas,Maize,1975,610,tonnes,Production
12,Bahamas,Maize,1976,625,tonnes,Production
12,Bahamas,Maize,1977,640,tonnes,Production
12,Bahamas,Maize,1978,730,tonnes,Production
12,Bahamas,Maize,1979,720,tonnes,Production
12,Bahamas,Maize,1980,719,tonnes,Production
12,Bahamas,Maize,1981,720,tonnes,Production
12,Bahamas,Maize,1982,740,tonnes,Production
12,Bahamas,Maize,1983,750,tonnes,Production
12,Bahamas,Maize,1984,800,tonnes,Production
12,Bahamas,Maize,1985,820,tonnes,Production
12,Bahamas,Maize,1986,820,tonnes,Production
12,Bahamas,Maize,1987,750,tonnes,Production
12,Bahamas,Maize,1988,700,tonnes,Production
12,Bahamas,Maize,1989,700,tonnes,Production
12,Bahamas,Maize,1990,750,tonnes,Production
12,Bahamas,Maize,1991,750,tonnes,Production
12,Bahamas,Maize,1992,500,tonnes,Production
12,Bahamas,Maize,1993,400,tonnes,Production
12,Bahamas,Maize,1994,312,tonnes,Production
12,Bahamas,Maize,1995,312,tonnes,Production
12,Bahamas,Maize,1996,312,tonnes,Production
12,Bahamas,Maize,1997,348,tonnes,Production
12,Bahamas,Maize,1998,377,tonnes,Production
12,Bahamas,Maize,1999,379,tonnes,Production
12,Bahamas,Maize,2000,312,tonnes,Production
12,Bahamas,Maize,2001,300,tonnes,Production
12,Bahamas,Maize,2002,305,tonnes,Production
12,Bahamas,Maize,2003,340,tonnes,Production
12,Bahamas,Maize,2004,355,tonnes,Production
12,Bahamas,Maize,2005,360,tonnes,Production
12,Bahamas,Maize,2006,380,tonnes,Production
12,Bahamas,Maize,2007,400,tonnes,Production
12,Bahamas,Maize,2008,500,tonnes,Production
12,Bahamas,Maize,2009,600,tonnes,Production
12,Bahamas,Maize,2010,678,tonnes,Production
12,Bahamas,Maize,2011,687,tonnes,Production
12,Bahamas,Maize,2012,690,tonnes,Production
12,Bahamas,Maize,2013,691,tonnes,Production
12,Bahamas,Maize,2014,688,tonnes,Production
12,Bahamas,Maize,2015,597,tonnes,Production
12,Bahamas,Maize,2016,617,tonnes,Production
12,Bahamas,Maize,2017,633,tonnes,Production
12,Bahamas,Maize,2018,650,tonnes,Production
12,Bahamas,Maize,2019,666,tonnes,Production
14,Barbados,Maize,1961,716,tonnes,Production
14,Barbados,Maize,1962,899,tonnes,Production
14,Barbados,Maize,1963,708,tonnes,Production
14,Barbados,Maize,1964,508,tonnes,Production
14,Barbados,Maize,1965,560,tonnes,Production
14,Barbados,Maize,1966,830,tonnes,Production
14,Barbados,Maize,1967,1000,tonnes,Production
14,Barbados,Maize,1968,1449,tonnes,Production
14,Barbados,Maize,1969,1754,tonnes,Production
14,Barbados,Maize,1970,1600,tonnes,Production
14,Barbados,Maize,1971,1400,tonnes,Production
14,Barbados,Maize,1972,2073,tonnes,Production
14,Barbados,Maize,1973,2000,tonnes,Production
14,Barbados,Maize,1974,2000,tonnes,Production
