Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_pulses_gg_ch4_ha
9,Argentina,"Peas, dry",1961,19900,tonnes,Production,0.6,11940
9,Argentina,"Peas, dry",1962,28000,tonnes,Production,0.6,16800
9,Argentina,"Peas, dry",1963,27400,tonnes,Production,0.6,16440
9,Argentina,"Peas, dry",1964,16800,tonnes,Production,0.6,10080
9,Argentina,"Peas, dry",1965,34950,tonnes,Production,0.6,20970
9,Argentina,"Peas, dry",1966,32950,tonnes,Production,0.6,19770
9,Argentina,"Peas, dry",1967,20000,tonnes,Production,0.6,12000
9,Argentina,"Peas, dry",1968,10000,tonnes,Production,0.6,6000
9,Argentina,"Peas, dry",1969,21600,tonnes,Production,0.6,12960
9,Argentina,"Peas, dry",1970,18100,tonnes,Production,0.6,10860
9,Argentina,"Peas, dry",1971,16800,tonnes,Production,0.6,10080
9,Argentina,"Peas, dry",1972,12000,tonnes,Production,0.6,7200
9,Argentina,"Peas, dry",1973,12600,tonnes,Production,0.6,7560
9,Argentina,"Peas, dry",1974,16100,tonnes,Production,0.6,9660
9,Argentina,"Peas, dry",1975,19300,tonnes,Production,0.6,11580
9,Argentina,"Peas, dry",1976,36300,tonnes,Production,0.6,21780
9,Argentina,"Peas, dry",1977,30000,tonnes,Production,0.6,18000
9,Argentina,"Peas, dry",1978,46000,tonnes,Production,0.6,27600
9,Argentina,"Peas, dry",1979,12000,tonnes,Production,0.6,7200
9,Argentina,"Peas, dry",1980,18600,tonnes,Production,0.6,11160
9,Argentina,"Peas, dry",1981,14450,tonnes,Production,0.6,8670
9,Argentina,"Peas, dry",1982,8750,tonnes,Production,0.6,5250
9,Argentina,"Peas, dry",1983,13000,tonnes,Production,0.6,7800
9,Argentina,"Peas, dry",1984,7600,tonnes,Production,0.6,4560
9,Argentina,"Peas, dry",1985,12900,tonnes,Production,0.6,7740
9,Argentina,"Peas, dry",1986,7300,tonnes,Production,0.6,4380
9,Argentina,"Peas, dry",1987,10200,tonnes,Production,0.6,6120
9,Argentina,"Peas, dry",1988,26100,tonnes,Production,0.6,15660
9,Argentina,"Peas, dry",1989,20000,tonnes,Production,0.6,12000
9,Argentina,"Peas, dry",1990,15000,tonnes,Production,0.6,9000
9,Argentina,"Peas, dry",1991,33200,tonnes,Production,0.6,19920
9,Argentina,"Peas, dry",1992,36000,tonnes,Production,0.6,21600
9,Argentina,"Peas, dry",1993,38600,tonnes,Production,0.6,23160
9,Argentina,"Peas, dry",1994,39000,tonnes,Production,0.6,23400
9,Argentina,"Peas, dry",1995,22100,tonnes,Production,0.6,13260
9,Argentina,"Peas, dry",1996,30000,tonnes,Production,0.6,18000
9,Argentina,"Peas, dry",1997,38000,tonnes,Production,0.6,22800
9,Argentina,"Peas, dry",1998,35000,tonnes,Production,0.6,21000
9,Argentina,"Peas, dry",1999,23000,tonnes,Production,0.6,13800
9,Argentina,"Peas, dry",2000,11200,tonnes,Production,0.6,6720
9,Argentina,"Peas, dry",2001,20000,tonnes,Production,0.6,12000
9,Argentina,"Peas, dry",2002,22000,tonnes,Production,0.6,13200
