Nation,Year,Unit,pop_lvst_initial_goats
argentina,2011,Head,4280000
argentina,2012,Head,4350000
argentina,2013,Head,4375000
argentina,2014,Head,4400000
argentina,2015,Head,4720674
argentina,2016,Head,4712173
argentina,2017,Head,4863894
argentina,2018,Head,4567479
argentina,2019,Head,4638635
bahamas,2011,Head,14500
bahamas,2012,Head,15000
bahamas,2013,Head,15000
bahamas,2014,Head,15000
bahamas,2015,Head,15013
bahamas,2016,Head,15009
bahamas,2017,Head,14973
bahamas,2018,Head,15010
bahamas,2019,Head,15058
barbados,2011,Head,5200
barbados,2012,Head,5300
barbados,2013,Head,5500
barbados,2014,Head,5400
barbados,2015,Head,5393
barbados,2016,Head,5412
barbados,2017,Head,5506
barbados,2018,Head,5522
barbados,2019,Head,5553
belize,2011,Head,185
belize,2012,Head,175
belize,2013,Head,180
belize,2014,Head,180
belize,2015,Head,183
belize,2016,Head,186
belize,2017,Head,189
belize,2018,Head,189
belize,2019,Head,188
bolivia,2011,Head,2254713
bolivia,2012,Head,2312441
bolivia,2013,Head,2370944
bolivia,2014,Head,2156812
bolivia,2015,Head,2181219
bolivia,2016,Head,2209968
bolivia,2017,Head,2210000
bolivia,2018,Head,2233411
bolivia,2019,Head,2250707
brazil,2011,Head,9386316
brazil,2012,Head,8646463
brazil,2013,Head,8779213
brazil,2014,Head,8851879
brazil,2015,Head,9620877
brazil,2016,Head,9817007
brazil,2017,Head,10257806
brazil,2018,Head,10959694
brazil,2019,Head,11637329
chile,2011,Head,600000
chile,2012,Head,530000
chile,2013,Head,461645
chile,2014,Head,450000
chile,2015,Head,412538
chile,2016,Head,424347
chile,2017,Head,447141
chile,2018,Head,469317
chile,2019,Head,330144
colombia,2011,Head,1115000
colombia,2012,Head,803916
colombia,2013,Head,887455
colombia,2014,Head,1038058
colombia,2015,Head,1082812
colombia,2016,Head,834708
colombia,2017,Head,1161238
colombia,2018,Head,1189649
colombia,2019,Head,1035358
costa_rica,2011,Head,5050
costa_rica,2012,Head,5150
costa_rica,2013,Head,5150
costa_rica,2014,Head,5160
costa_rica,2015,Head,5319
costa_rica,2016,Head,5262
costa_rica,2017,Head,5397
costa_rica,2018,Head,5502
costa_rica,2019,Head,5616
dominican_republic,2011,Head,230000
dominican_republic,2012,Head,232000
dominican_republic,2013,Head,235000
dominican_republic,2014,Head,236000
dominican_republic,2015,Head,236490
dominican_republic,2016,Head,236864
dominican_republic,2017,Head,225914
dominican_republic,2018,Head,224082
dominican_republic,2019,Head,229114
ecuador,2011,Head,112331
ecuador,2012,Head,108714
ecuador,2013,Head,104027
ecuador,2014,Head,20793
ecuador,2015,Head,27102
ecuador,2016,Head,36379
ecuador,2017,Head,39583
ecuador,2018,Head,21745
ecuador,2019,Head,28391
el_salvador,2011,Head,15100
el_salvador,2012,Head,15100
el_salvador,2013,Head,15150
el_salvador,2014,Head,15150
el_salvador,2015,Head,15111
el_salvador,2016,Head,15025
el_salvador,2017,Head,14510
el_salvador,2018,Head,14834
el_salvador,2019,Head,14665
guatemala,2011,Head,110700
guatemala,2012,Head,110900
guatemala,2013,Head,113300
guatemala,2014,Head,111900
guatemala,2015,Head,112700
guatemala,2016,Head,113800
guatemala,2017,Head,114310
guatemala,2018,Head,114134
guatemala,2019,Head,114571
guyana,2011,Head,81000
guyana,2012,Head,82000
guyana,2013,Head,82000
guyana,2014,Head,82100
guyana,2015,Head,81964
guyana,2016,Head,82017
guyana,2017,Head,82359
guyana,2018,Head,82727
guyana,2019,Head,82968
haiti,2011,Head,1910000
haiti,2012,Head,1950000
haiti,2013,Head,1950000
haiti,2014,Head,2073767
haiti,2015,Head,2197441
haiti,2016,Head,2413877
haiti,2017,Head,2014326
haiti,2018,Head,1498833
haiti,2019,Head,1705870
honduras,2011,Head,25000
honduras,2012,Head,25000
honduras,2013,Head,25000
honduras,2014,Head,25000
honduras,2015,Head,24956
honduras,2016,Head,24863
honduras,2017,Head,24848
honduras,2018,Head,24891
honduras,2019,Head,24887
jamaica,2011,Head,500000
jamaica,2012,Head,520000
jamaica,2013,Head,520000
jamaica,2014,Head,520000
jamaica,2015,Head,527599
