Area Code (FAO),Nation,Item,Year,yf_agrc_fibers_tonne_ha,Unit,Element
9,Argentina,Flax fibre and tow,1961,4995,hg/ha,Yield
9,Argentina,Flax fibre and tow,1962,5916,hg/ha,Yield
9,Argentina,Flax fibre and tow,1963,6432,hg/ha,Yield
9,Argentina,Flax fibre and tow,1964,6465,hg/ha,Yield
9,Argentina,Flax fibre and tow,1965,5440,hg/ha,Yield
9,Argentina,Flax fibre and tow,1966,5590,hg/ha,Yield
9,Argentina,Flax fibre and tow,1967,5708,hg/ha,Yield
9,Argentina,Flax fibre and tow,1968,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1969,6810,hg/ha,Yield
9,Argentina,Flax fibre and tow,1970,6222,hg/ha,Yield
9,Argentina,Flax fibre and tow,1971,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1972,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1973,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1974,6692,hg/ha,Yield
9,Argentina,Flax fibre and tow,1975,7070,hg/ha,Yield
9,Argentina,Flax fibre and tow,1976,6269,hg/ha,Yield
9,Argentina,Flax fibre and tow,1977,6267,hg/ha,Yield
9,Argentina,Flax fibre and tow,1978,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1979,6267,hg/ha,Yield
9,Argentina,Flax fibre and tow,1980,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1981,6000,hg/ha,Yield
9,Argentina,Flax fibre and tow,1982,6222,hg/ha,Yield
9,Argentina,Flax fibre and tow,1983,6222,hg/ha,Yield
9,Argentina,Flax fibre and tow,1984,6222,hg/ha,Yield
9,Argentina,Flax fibre and tow,1985,6222,hg/ha,Yield
9,Argentina,Flax fibre and tow,1986,6364,hg/ha,Yield
9,Argentina,Flax fibre and tow,1987,6364,hg/ha,Yield
9,Argentina,Flax fibre and tow,1988,6250,hg/ha,Yield
9,Argentina,Flax fibre and tow,1989,6250,hg/ha,Yield
9,Argentina,Flax fibre and tow,1990,6400,hg/ha,Yield
