Area Code (FAO),Nation,Item,Year,yf_agrc_vegetables_tonne_ha,Unit,Element
9,Argentina,Artichokes,1961,120000,hg/ha,Yield
9,Argentina,Artichokes,1962,121838,hg/ha,Yield
9,Argentina,Artichokes,1963,103607,hg/ha,Yield
9,Argentina,Artichokes,1964,141919,hg/ha,Yield
9,Argentina,Artichokes,1965,173333,hg/ha,Yield
9,Argentina,Artichokes,1966,184063,hg/ha,Yield
9,Argentina,Artichokes,1967,190453,hg/ha,Yield
9,Argentina,Artichokes,1968,200643,hg/ha,Yield
9,Argentina,Artichokes,1969,192899,hg/ha,Yield
9,Argentina,Artichokes,1970,183946,hg/ha,Yield
9,Argentina,Artichokes,1971,184565,hg/ha,Yield
9,Argentina,Artichokes,1972,190421,hg/ha,Yield
9,Argentina,Artichokes,1973,187841,hg/ha,Yield
9,Argentina,Artichokes,1974,187907,hg/ha,Yield
9,Argentina,Artichokes,1975,190174,hg/ha,Yield
9,Argentina,Artichokes,1976,177305,hg/ha,Yield
9,Argentina,Artichokes,1977,185000,hg/ha,Yield
9,Argentina,Artichokes,1978,185069,hg/ha,Yield
9,Argentina,Artichokes,1979,185333,hg/ha,Yield
9,Argentina,Artichokes,1980,196656,hg/ha,Yield
9,Argentina,Artichokes,1981,202970,hg/ha,Yield
9,Argentina,Artichokes,1982,201285,hg/ha,Yield
9,Argentina,Artichokes,1983,202187,hg/ha,Yield
9,Argentina,Artichokes,1984,184545,hg/ha,Yield
9,Argentina,Artichokes,1985,199479,hg/ha,Yield
9,Argentina,Artichokes,1986,185000,hg/ha,Yield
9,Argentina,Artichokes,1987,200000,hg/ha,Yield
9,Argentina,Artichokes,1988,200000,hg/ha,Yield
9,Argentina,Artichokes,1989,200000,hg/ha,Yield
9,Argentina,Artichokes,1990,200000,hg/ha,Yield
9,Argentina,Artichokes,1991,195411,hg/ha,Yield
9,Argentina,Artichokes,1992,197297,hg/ha,Yield
9,Argentina,Artichokes,1993,194780,hg/ha,Yield
9,Argentina,Artichokes,1994,194737,hg/ha,Yield
9,Argentina,Artichokes,1995,192308,hg/ha,Yield
9,Argentina,Artichokes,1996,192995,hg/ha,Yield
9,Argentina,Artichokes,1997,192812,hg/ha,Yield
9,Argentina,Artichokes,1998,192683,hg/ha,Yield
9,Argentina,Artichokes,1999,188889,hg/ha,Yield
9,Argentina,Artichokes,2000,192161,hg/ha,Yield
9,Argentina,Artichokes,2001,192055,hg/ha,Yield
9,Argentina,Artichokes,2002,186957,hg/ha,Yield
9,Argentina,Artichokes,2003,187234,hg/ha,Yield
9,Argentina,Artichokes,2004,193524,hg/ha,Yield
9,Argentina,Artichokes,2005,195339,hg/ha,Yield
9,Argentina,Artichokes,2006,197470,hg/ha,Yield
9,Argentina,Artichokes,2007,191489,hg/ha,Yield
9,Argentina,Artichokes,2008,207388,hg/ha,Yield
9,Argentina,Artichokes,2009,214680,hg/ha,Yield
9,Argentina,Artichokes,2010,222497,hg/ha,Yield
9,Argentina,Artichokes,2011,230716,hg/ha,Yield
9,Argentina,Artichokes,2012,265000,hg/ha,Yield
9,Argentina,Artichokes,2013,247283,hg/ha,Yield
9,Argentina,Artichokes,2014,253345,hg/ha,Yield
9,Argentina,Artichokes,2015,260163,hg/ha,Yield
9,Argentina,Artichokes,2016,267481,hg/ha,Yield
9,Argentina,Artichokes,2017,273923,hg/ha,Yield
9,Argentina,Artichokes,2018,280365,hg/ha,Yield
9,Argentina,Artichokes,2019,286803,hg/ha,Yield
9,Argentina,Asparagus,1961,22222,hg/ha,Yield
9,Argentina,Asparagus,1962,27273,hg/ha,Yield
9,Argentina,Asparagus,1963,25720,hg/ha,Yield
9,Argentina,Asparagus,1964,29598,hg/ha,Yield
9,Argentina,Asparagus,1965,28770,hg/ha,Yield
9,Argentina,Asparagus,1966,32692,hg/ha,Yield
9,Argentina,Asparagus,1967,50250,hg/ha,Yield
9,Argentina,Asparagus,1968,38889,hg/ha,Yield
9,Argentina,Asparagus,1969,39209,hg/ha,Yield
9,Argentina,Asparagus,1970,37560,hg/ha,Yield
9,Argentina,Asparagus,1971,42235,hg/ha,Yield
9,Argentina,Asparagus,1972,44419,hg/ha,Yield
9,Argentina,Asparagus,1973,44706,hg/ha,Yield
9,Argentina,Asparagus,1974,30578,hg/ha,Yield
9,Argentina,Asparagus,1975,37996,hg/ha,Yield
9,Argentina,Asparagus,1976,42045,hg/ha,Yield
9,Argentina,Asparagus,1977,42222,hg/ha,Yield
9,Argentina,Asparagus,1978,40000,hg/ha,Yield
9,Argentina,Asparagus,1979,40667,hg/ha,Yield
9,Argentina,Asparagus,1980,31250,hg/ha,Yield
9,Argentina,Asparagus,1981,36000,hg/ha,Yield
9,Argentina,Asparagus,1982,38776,hg/ha,Yield
9,Argentina,Asparagus,1983,43085,hg/ha,Yield
9,Argentina,Asparagus,1984,43925,hg/ha,Yield
9,Argentina,Asparagus,1985,40741,hg/ha,Yield
9,Argentina,Asparagus,1986,43033,hg/ha,Yield
9,Argentina,Asparagus,1987,44545,hg/ha,Yield
9,Argentina,Asparagus,1988,40435,hg/ha,Yield
9,Argentina,Asparagus,1989,40870,hg/ha,Yield
9,Argentina,Asparagus,1990,42040,hg/ha,Yield
9,Argentina,Asparagus,1991,40000,hg/ha,Yield
9,Argentina,Asparagus,1992,39200,hg/ha,Yield
9,Argentina,Asparagus,1993,39075,hg/ha,Yield
9,Argentina,Asparagus,1994,38462,hg/ha,Yield
9,Argentina,Asparagus,1995,39286,hg/ha,Yield
9,Argentina,Asparagus,1996,40000,hg/ha,Yield
9,Argentina,Asparagus,1997,39588,hg/ha,Yield
9,Argentina,Asparagus,1998,39595,hg/ha,Yield
9,Argentina,Asparagus,1999,40000,hg/ha,Yield
9,Argentina,Asparagus,2000,39379,hg/ha,Yield
9,Argentina,Asparagus,2001,39149,hg/ha,Yield
9,Argentina,Asparagus,2002,38333,hg/ha,Yield
9,Argentina,Asparagus,2003,37838,hg/ha,Yield
9,Argentina,Asparagus,2004,38833,hg/ha,Yield
9,Argentina,Asparagus,2005,39115,hg/ha,Yield
9,Argentina,Asparagus,2006,39665,hg/ha,Yield
9,Argentina,Asparagus,2007,40000,hg/ha,Yield
9,Argentina,Asparagus,2008,39595,hg/ha,Yield
9,Argentina,Asparagus,2009,39576,hg/ha,Yield
