Area Code (FAO),Nation,Item,Year,Value,Unit,Element
9,Argentina,Peppermint,1961,23000,tonnes,Production
9,Argentina,Peppermint,1962,24000,tonnes,Production
9,Argentina,Peppermint,1963,25000,tonnes,Production
9,Argentina,Peppermint,1964,26970,tonnes,Production
9,Argentina,Peppermint,1965,27860,tonnes,Production
9,Argentina,Peppermint,1966,29020,tonnes,Production
9,Argentina,Peppermint,1967,25000,tonnes,Production
9,Argentina,Peppermint,1968,27000,tonnes,Production
9,Argentina,Peppermint,1969,21300,tonnes,Production
9,Argentina,Peppermint,1970,21230,tonnes,Production
9,Argentina,Peppermint,1971,20760,tonnes,Production
9,Argentina,Peppermint,1972,18185,tonnes,Production
9,Argentina,Peppermint,1973,20570,tonnes,Production
9,Argentina,Peppermint,1974,12158,tonnes,Production
9,Argentina,Peppermint,1975,13180,tonnes,Production
9,Argentina,Peppermint,1976,12787,tonnes,Production
9,Argentina,Peppermint,1977,23180,tonnes,Production
9,Argentina,Peppermint,1978,12300,tonnes,Production
9,Argentina,Peppermint,1979,13980,tonnes,Production
9,Argentina,Peppermint,1980,11100,tonnes,Production
9,Argentina,Peppermint,1981,5400,tonnes,Production
9,Argentina,Peppermint,1982,8900,tonnes,Production
9,Argentina,Peppermint,1983,8500,tonnes,Production
9,Argentina,Peppermint,1984,8600,tonnes,Production
9,Argentina,Peppermint,1985,8500,tonnes,Production
9,Argentina,Peppermint,1986,8400,tonnes,Production
9,Argentina,Peppermint,1987,8300,tonnes,Production
9,Argentina,Peppermint,1988,8200,tonnes,Production
9,Argentina,Peppermint,1989,8100,tonnes,Production
9,Argentina,Peppermint,1990,8000,tonnes,Production
9,Argentina,Peppermint,1991,8000,tonnes,Production
9,Argentina,Peppermint,1992,8000,tonnes,Production
9,Argentina,Peppermint,1993,8000,tonnes,Production
9,Argentina,Peppermint,1994,8000,tonnes,Production
9,Argentina,Peppermint,1995,8000,tonnes,Production
9,Argentina,Peppermint,1996,8000,tonnes,Production
9,Argentina,Peppermint,1997,8000,tonnes,Production
9,Argentina,Peppermint,1998,8000,tonnes,Production
9,Argentina,Peppermint,1999,7000,tonnes,Production
9,Argentina,Peppermint,2000,7000,tonnes,Production
9,Argentina,Peppermint,2001,7000,tonnes,Production
9,Argentina,Peppermint,2002,7100,tonnes,Production
9,Argentina,Peppermint,2003,7100,tonnes,Production
9,Argentina,Peppermint,2004,7100,tonnes,Production
9,Argentina,Peppermint,2005,7100,tonnes,Production
9,Argentina,Peppermint,2006,7100,tonnes,Production
9,Argentina,Peppermint,2007,7100,tonnes,Production
9,Argentina,Peppermint,2008,7100,tonnes,Production
9,Argentina,Peppermint,2009,7100,tonnes,Production
9,Argentina,Peppermint,2010,7100,tonnes,Production
9,Argentina,Peppermint,2011,7100,tonnes,Production
9,Argentina,Peppermint,2012,7100,tonnes,Production
9,Argentina,Peppermint,2013,7058,tonnes,Production
9,Argentina,Peppermint,2014,7004,tonnes,Production
9,Argentina,Peppermint,2015,6994,tonnes,Production
9,Argentina,Peppermint,2016,7024,tonnes,Production
9,Argentina,Peppermint,2017,7017,tonnes,Production
9,Argentina,Peppermint,2018,7010,tonnes,Production
9,Argentina,Peppermint,2019,7002,tonnes,Production
23,Belize,"Cocoa, beans",1961,17,tonnes,Production
23,Belize,"Cocoa, beans",1962,2,tonnes,Production
23,Belize,"Cocoa, beans",1963,58,tonnes,Production
23,Belize,"Cocoa, beans",1964,50,tonnes,Production
23,Belize,"Cocoa, beans",1965,55,tonnes,Production
23,Belize,"Cocoa, beans",1966,20,tonnes,Production
23,Belize,"Cocoa, beans",1967,25,tonnes,Production
23,Belize,"Cocoa, beans",1968,35,tonnes,Production
23,Belize,"Cocoa, beans",1969,12,tonnes,Production
23,Belize,"Cocoa, beans",1970,17,tonnes,Production
23,Belize,"Cocoa, beans",1971,20,tonnes,Production
23,Belize,"Cocoa, beans",1972,25,tonnes,Production
23,Belize,"Cocoa, beans",1973,37,tonnes,Production
23,Belize,"Cocoa, beans",1974,40,tonnes,Production
23,Belize,"Cocoa, beans",1975,42,tonnes,Production
23,Belize,"Cocoa, beans",1976,42,tonnes,Production
23,Belize,"Cocoa, beans",1977,45,tonnes,Production
23,Belize,"Cocoa, beans",1978,45,tonnes,Production
23,Belize,"Cocoa, beans",1979,45,tonnes,Production
23,Belize,"Cocoa, beans",1980,44,tonnes,Production
23,Belize,"Cocoa, beans",1981,44,tonnes,Production
23,Belize,"Cocoa, beans",1982,42,tonnes,Production
23,Belize,"Cocoa, beans",1983,41,tonnes,Production
23,Belize,"Cocoa, beans",1984,55,tonnes,Production
23,Belize,"Cocoa, beans",1985,64,tonnes,Production
23,Belize,"Cocoa, beans",1986,80,tonnes,Production
23,Belize,"Cocoa, beans",1987,66,tonnes,Production
23,Belize,"Cocoa, beans",1988,57,tonnes,Production
23,Belize,"Cocoa, beans",1989,83,tonnes,Production
23,Belize,"Cocoa, beans",1990,167,tonnes,Production
23,Belize,"Cocoa, beans",1991,91,tonnes,Production
23,Belize,"Cocoa, beans",1992,143,tonnes,Production
23,Belize,"Cocoa, beans",1993,72,tonnes,Production
23,Belize,"Cocoa, beans",1994,24,tonnes,Production
23,Belize,"Cocoa, beans",1995,34,tonnes,Production
23,Belize,"Cocoa, beans",1996,55,tonnes,Production
23,Belize,"Cocoa, beans",1997,84,tonnes,Production
23,Belize,"Cocoa, beans",1998,90,tonnes,Production
23,Belize,"Cocoa, beans",1999,23,tonnes,Production
23,Belize,"Cocoa, beans",2000,30,tonnes,Production
23,Belize,"Cocoa, beans",2001,30,tonnes,Production
23,Belize,"Cocoa, beans",2002,25,tonnes,Production
23,Belize,"Cocoa, beans",2003,41,tonnes,Production
23,Belize,"Cocoa, beans",2004,40,tonnes,Production
23,Belize,"Cocoa, beans",2005,22,tonnes,Production
23,Belize,"Cocoa, beans",2006,43,tonnes,Production
23,Belize,"Cocoa, beans",2007,25,tonnes,Production
23,Belize,"Cocoa, beans",2008,50,tonnes,Production
23,Belize,"Cocoa, beans",2009,39,tonnes,Production
23,Belize,"Cocoa, beans",2010,26,tonnes,Production
23,Belize,"Cocoa, beans",2011,26,tonnes,Production
23,Belize,"Cocoa, beans",2012,68,tonnes,Production
23,Belize,"Cocoa, beans",2013,66,tonnes,Production
23,Belize,"Cocoa, beans",2014,75,tonnes,Production
23,Belize,"Cocoa, beans",2015,72,tonnes,Production
23,Belize,"Cocoa, beans",2016,85,tonnes,Production
23,Belize,"Cocoa, beans",2017,244,tonnes,Production
23,Belize,"Cocoa, beans",2018,110,tonnes,Production
23,Belize,"Cocoa, beans",2019,110,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1961,1100,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1962,1100,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1963,1100,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1964,1100,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1965,1100,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1966,1000,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1967,1200,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1968,1300,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1969,1300,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1970,1300,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1971,1750,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1972,2485,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1973,1370,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1974,2354,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1975,2735,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1976,2995,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1977,3110,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1978,2165,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1979,2020,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1980,2260,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1981,2235,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1982,2342,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1983,2250,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1984,2747,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1985,3020,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1986,3520,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1987,3640,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1988,3490,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1989,3580,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1990,3591,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1991,3616,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1992,3545,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1993,3710,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1994,3765,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1995,3850,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1996,3860,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1997,4000,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1998,4000,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",1999,4200,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",2000,4300,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",2001,4320,tonnes,Production
19,Bolivia (Plurinational State of),"Cocoa, beans",2002,4325,tonnes,Production
