Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_tubers_gg_ch4_ha
9,Argentina,Potatoes,1961,2071700,tonnes,Production,0.2,414340
9,Argentina,Potatoes,1962,1184400,tonnes,Production,0.2,236880
9,Argentina,Potatoes,1963,1453400,tonnes,Production,0.2,290680
9,Argentina,Potatoes,1964,1492400,tonnes,Production,0.2,298480
9,Argentina,Potatoes,1965,2489000,tonnes,Production,0.2,497800
9,Argentina,Potatoes,1966,1484300,tonnes,Production,0.2,296860
9,Argentina,Potatoes,1967,1797200,tonnes,Production,0.2,359440
9,Argentina,Potatoes,1968,1966550,tonnes,Production,0.2,393310
9,Argentina,Potatoes,1969,2339940,tonnes,Production,0.2,467988
9,Argentina,Potatoes,1970,2336400,tonnes,Production,0.2,467280
9,Argentina,Potatoes,1971,1958400,tonnes,Production,0.2,391680
9,Argentina,Potatoes,1972,1339800,tonnes,Production,0.2,267960
9,Argentina,Potatoes,1973,1534600,tonnes,Production,0.2,306920
9,Argentina,Potatoes,1974,2172600,tonnes,Production,0.2,434520
9,Argentina,Potatoes,1975,1349200,tonnes,Production,0.2,269840
9,Argentina,Potatoes,1976,1526300,tonnes,Production,0.2,305260
9,Argentina,Potatoes,1977,1769200,tonnes,Production,0.2,353840
9,Argentina,Potatoes,1978,1593000,tonnes,Production,0.2,318600
9,Argentina,Potatoes,1979,1694000,tonnes,Production,0.2,338800
9,Argentina,Potatoes,1980,1568000,tonnes,Production,0.2,313600
9,Argentina,Potatoes,1981,2247100,tonnes,Production,0.2,449420
9,Argentina,Potatoes,1982,1816960,tonnes,Production,0.2,363392
9,Argentina,Potatoes,1983,1993200,tonnes,Production,0.2,398640
9,Argentina,Potatoes,1984,2105700,tonnes,Production,0.2,421140
9,Argentina,Potatoes,1985,2243300,tonnes,Production,0.2,448660
9,Argentina,Potatoes,1986,2057600,tonnes,Production,0.2,411520
9,Argentina,Potatoes,1987,2103500,tonnes,Production,0.2,420700
9,Argentina,Potatoes,1988,2859100,tonnes,Production,0.2,571820
9,Argentina,Potatoes,1989,2158000,tonnes,Production,0.2,431600
9,Argentina,Potatoes,1990,1598170,tonnes,Production,0.2,319634
9,Argentina,Potatoes,1991,1749887,tonnes,Production,0.2,349977.4
9,Argentina,Potatoes,1992,1628520,tonnes,Production,0.2,325704
9,Argentina,Potatoes,1993,2104971,tonnes,Production,0.2,420994.2
9,Argentina,Potatoes,1994,2422657,tonnes,Production,0.2,484531.4
9,Argentina,Potatoes,1995,2427742,tonnes,Production,0.2,485548.4
9,Argentina,Potatoes,1996,2275035,tonnes,Production,0.2,455007
9,Argentina,Potatoes,1997,3011328,tonnes,Production,0.2,602265.6
9,Argentina,Potatoes,1998,3412395,tonnes,Production,0.2,682479
9,Argentina,Potatoes,1999,2700000,tonnes,Production,0.2,540000
9,Argentina,Potatoes,2000,2220529,tonnes,Production,0.2,444105.8
9,Argentina,Potatoes,2001,2497156,tonnes,Production,0.2,499431.2
9,Argentina,Potatoes,2002,2262120,tonnes,Production,0.2,452424
9,Argentina,Potatoes,2003,2094520,tonnes,Production,0.2,418904
9,Argentina,Potatoes,2004,2021020,tonnes,Production,0.2,404204
9,Argentina,Potatoes,2005,1788677,tonnes,Production,0.2,357735.4
9,Argentina,Potatoes,2006,1943632,tonnes,Production,0.2,388726.4
9,Argentina,Potatoes,2007,1950000,tonnes,Production,0.2,390000
9,Argentina,Potatoes,2008,1900000,tonnes,Production,0.2,380000
9,Argentina,Potatoes,2009,1950000,tonnes,Production,0.2,390000
9,Argentina,Potatoes,2010,2011097,tonnes,Production,0.2,402219.4
9,Argentina,Potatoes,2011,2058376,tonnes,Production,0.2,411675.2
9,Argentina,Potatoes,2012,2149333,tonnes,Production,0.2,429866.6
9,Argentina,Potatoes,2013,2211554,tonnes,Production,0.2,442310.8
9,Argentina,Potatoes,2014,2264804,tonnes,Production,0.2,452960.8
9,Argentina,Potatoes,2015,2329939,tonnes,Production,0.2,465987.8
9,Argentina,Potatoes,2016,2430866,tonnes,Production,0.2,486173.2
9,Argentina,Potatoes,2017,2454850,tonnes,Production,0.2,490970
9,Argentina,Potatoes,2018,2193455,tonnes,Production,0.2,438691
9,Argentina,Potatoes,2019,2209220,tonnes,Production,0.2,441844
12,Bahamas,Potatoes,1991,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1992,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1993,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1994,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1995,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1996,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1997,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1998,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,1999,NA,tonnes,Production,0.2,NA
12,Bahamas,Potatoes,2000,NA,tonnes,Production,0.2,NA
