Area Code (FAO),Nation,Item,Year,frac_area_cropland_cereals,Unit,Element
9,Argentina,Cropland,1961,19472,1000 ha,Area
9,Argentina,Cropland,1962,20061,1000 ha,Area
9,Argentina,Cropland,1963,20486,1000 ha,Area
9,Argentina,Cropland,1964,20892,1000 ha,Area
9,Argentina,Cropland,1965,21358,1000 ha,Area
9,Argentina,Cropland,1966,22511,1000 ha,Area
9,Argentina,Cropland,1967,23249,1000 ha,Area
9,Argentina,Cropland,1968,24765,1000 ha,Area
9,Argentina,Cropland,1969,26816,1000 ha,Area
9,Argentina,Cropland,1970,26925,1000 ha,Area
9,Argentina,Cropland,1971,26931,1000 ha,Area
9,Argentina,Cropland,1972,26936,1000 ha,Area
9,Argentina,Cropland,1973,26942,1000 ha,Area
9,Argentina,Cropland,1974,26947,1000 ha,Area
9,Argentina,Cropland,1975,26953,1000 ha,Area
9,Argentina,Cropland,1976,26958,1000 ha,Area
9,Argentina,Cropland,1977,26964,1000 ha,Area
9,Argentina,Cropland,1978,26969,1000 ha,Area
9,Argentina,Cropland,1979,26975,1000 ha,Area
9,Argentina,Cropland,1980,26981,1000 ha,Area
9,Argentina,Cropland,1981,26986,1000 ha,Area
9,Argentina,Cropland,1982,27992,1000 ha,Area
9,Argentina,Cropland,1983,27998,1000 ha,Area
9,Argentina,Cropland,1984,28003,1000 ha,Area
9,Argentina,Cropland,1985,28008,1000 ha,Area
9,Argentina,Cropland,1986,28014,1000 ha,Area
9,Argentina,Cropland,1987,27819,1000 ha,Area
9,Argentina,Cropland,1988,27392,1000 ha,Area
9,Argentina,Cropland,1989,27490,1000 ha,Area
9,Argentina,Cropland,1990,27595,1000 ha,Area
9,Argentina,Cropland,1991,27700,1000 ha,Area
9,Argentina,Cropland,1992,27805,1000 ha,Area
9,Argentina,Cropland,1993,27910,1000 ha,Area
9,Argentina,Cropland,1994,28018,1000 ha,Area
9,Argentina,Cropland,1995,28125,1000 ha,Area
9,Argentina,Cropland,1996,28232,1000 ha,Area
9,Argentina,Cropland,1997,28335,1000 ha,Area
9,Argentina,Cropland,1998,28440,1000 ha,Area
9,Argentina,Cropland,1999,28532,1000 ha,Area
9,Argentina,Cropland,2000,28640,1000 ha,Area
9,Argentina,Cropland,2001,28746,1000 ha,Area
9,Argentina,Cropland,2002,28862,1000 ha,Area
9,Argentina,Cropland,2003,30828.2,1000 ha,Area
9,Argentina,Cropland,2004,32794.4,1000 ha,Area
9,Argentina,Cropland,2005,34791.6,1000 ha,Area
9,Argentina,Cropland,2006,36582.5,1000 ha,Area
9,Argentina,Cropland,2007,37984.9,1000 ha,Area
9,Argentina,Cropland,2008,36636.3,1000 ha,Area
9,Argentina,Cropland,2009,35490.7,1000 ha,Area
9,Argentina,Cropland,2010,39003.1,1000 ha,Area
9,Argentina,Cropland,2011,39626.5,1000 ha,Area
9,Argentina,Cropland,2012,40622.9,1000 ha,Area
9,Argentina,Cropland,2013,40391.3,1000 ha,Area
9,Argentina,Cropland,2014,39039.7,1000 ha,Area
9,Argentina,Cropland,2015,37688.1,1000 ha,Area
9,Argentina,Cropland,2016,36336.5,1000 ha,Area
9,Argentina,Cropland,2017,34984.9,1000 ha,Area
9,Argentina,Cropland,2018,33700.7597,1000 ha,Area
9,Argentina,Cropland,2019,33700.7597,1000 ha,Area
12,Bahamas,Cropland,1961,9,1000 ha,Area
