Year,Nation,Unit,qty_lvst_daily_dry_matter_consumed_buffalo_kg
2019,argentina,Kg,16.2
2019,bahamas,Kg,16.2
2019,barbados,Kg,16.2
2019,belize,Kg,16.2
2019,bolivia,Kg,16.2
2019,brazil,Kg,16.2
2019,chile,Kg,16.2
2019,colombia,Kg,16.2
2019,costa_rica,Kg,16.2
2019,dominican_republic,Kg,16.2
2019,ecuador,Kg,16.2
2019,el_salvador,Kg,16.2
2019,guatemala,Kg,16.2
2019,guyana,Kg,16.2
2019,haiti,Kg,16.2
2019,honduras,Kg,16.2
2019,jamaica,Kg,16.2
2019,mexico,Kg,16.2
2019,nicaragua,Kg,16.2
2019,panama,Kg,16.2
2019,paraguay,Kg,16.2
2019,peru,Kg,16.2
2019,suriname,Kg,16.2
2019,trinidad_and_tobago,Kg,16.2
2019,uruguay,Kg,16.2
2019,venezuela,Kg,16.2
2018,argentina,Kg,16.2
2018,bahamas,Kg,16.2
2018,barbados,Kg,16.2
2018,belize,Kg,16.2
2018,bolivia,Kg,16.2
2018,brazil,Kg,16.2
2018,chile,Kg,16.2
2018,colombia,Kg,16.2
2018,costa_rica,Kg,16.2
2018,dominican_republic,Kg,16.2
2018,ecuador,Kg,16.2
2018,el_salvador,Kg,16.2
2018,guatemala,Kg,16.2
2018,guyana,Kg,16.2
2018,haiti,Kg,16.2
2018,honduras,Kg,16.2
2018,jamaica,Kg,16.2
2018,mexico,Kg,16.2
2018,nicaragua,Kg,16.2
2018,panama,Kg,16.2
2018,paraguay,Kg,16.2
2018,peru,Kg,16.2
2018,suriname,Kg,16.2
2018,trinidad_and_tobago,Kg,16.2
2018,uruguay,Kg,16.2
2018,venezuela,Kg,16.2
2017,argentina,Kg,16.2
2017,bahamas,Kg,16.2
2017,barbados,Kg,16.2
2017,belize,Kg,16.2
2017,bolivia,Kg,16.2
2017,brazil,Kg,16.2
2017,chile,Kg,16.2
2017,colombia,Kg,16.2
2017,costa_rica,Kg,16.2
2017,dominican_republic,Kg,16.2
2017,ecuador,Kg,16.2
2017,el_salvador,Kg,16.2
2017,guatemala,Kg,16.2
2017,guyana,Kg,16.2
2017,haiti,Kg,16.2
2017,honduras,Kg,16.2
2017,jamaica,Kg,16.2
2017,mexico,Kg,16.2
2017,nicaragua,Kg,16.2
2017,panama,Kg,16.2
2017,paraguay,Kg,16.2
2017,peru,Kg,16.2
2017,suriname,Kg,16.2
2017,trinidad_and_tobago,Kg,16.2
2017,uruguay,Kg,16.2
2017,venezuela,Kg,16.2
2016,argentina,Kg,16.2
2016,bahamas,Kg,16.2
2016,barbados,Kg,16.2
2016,belize,Kg,16.2
2016,bolivia,Kg,16.2
2016,brazil,Kg,16.2
2016,chile,Kg,16.2
2016,colombia,Kg,16.2
2016,costa_rica,Kg,16.2
2016,dominican_republic,Kg,16.2
2016,ecuador,Kg,16.2
2016,el_salvador,Kg,16.2
2016,guatemala,Kg,16.2
2016,guyana,Kg,16.2
2016,haiti,Kg,16.2
