Area Code (FAO),Nation,Item,Year,Value,Unit,Element
9,Argentina,Cotton lint,1961,120777,tonnes,Production
9,Argentina,Cotton lint,1962,106040,tonnes,Production
9,Argentina,Cotton lint,1963,133180,tonnes,Production
9,Argentina,Cotton lint,1964,99200,tonnes,Production
9,Argentina,Cotton lint,1965,138000,tonnes,Production
9,Argentina,Cotton lint,1966,115500,tonnes,Production
9,Argentina,Cotton lint,1967,86600,tonnes,Production
9,Argentina,Cotton lint,1968,72200,tonnes,Production
9,Argentina,Cotton lint,1969,112400,tonnes,Production
9,Argentina,Cotton lint,1970,144900,tonnes,Production
9,Argentina,Cotton lint,1971,84100,tonnes,Production
9,Argentina,Cotton lint,1972,87300,tonnes,Production
9,Argentina,Cotton lint,1973,124800,tonnes,Production
9,Argentina,Cotton lint,1974,127300,tonnes,Production
9,Argentina,Cotton lint,1975,171700,tonnes,Production
9,Argentina,Cotton lint,1976,139500,tonnes,Production
9,Argentina,Cotton lint,1977,160000,tonnes,Production
9,Argentina,Cotton lint,1978,220300,tonnes,Production
9,Argentina,Cotton lint,1979,173669,tonnes,Production
9,Argentina,Cotton lint,1980,145379,tonnes,Production
9,Argentina,Cotton lint,1981,83559,tonnes,Production
9,Argentina,Cotton lint,1982,151525,tonnes,Production
9,Argentina,Cotton lint,1983,112212,tonnes,Production
9,Argentina,Cotton lint,1984,179868,tonnes,Production
9,Argentina,Cotton lint,1985,171372,tonnes,Production
9,Argentina,Cotton lint,1986,120000,tonnes,Production
9,Argentina,Cotton lint,1987,100000,tonnes,Production
9,Argentina,Cotton lint,1988,281850,tonnes,Production
9,Argentina,Cotton lint,1989,172700,tonnes,Production
9,Argentina,Cotton lint,1990,302400,tonnes,Production
9,Argentina,Cotton lint,1991,323600,tonnes,Production
9,Argentina,Cotton lint,1992,252800,tonnes,Production
9,Argentina,Cotton lint,1993,150800,tonnes,Production
9,Argentina,Cotton lint,1994,230156,tonnes,Production
9,Argentina,Cotton lint,1995,366750,tonnes,Production
9,Argentina,Cotton lint,1996,432274,tonnes,Production
9,Argentina,Cotton lint,1997,300000,tonnes,Production
9,Argentina,Cotton lint,1998,315840,tonnes,Production
9,Argentina,Cotton lint,1999,195500,tonnes,Production
9,Argentina,Cotton lint,2000,134000,tonnes,Production
9,Argentina,Cotton lint,2001,167000,tonnes,Production
9,Argentina,Cotton lint,2002,61800,tonnes,Production
9,Argentina,Cotton lint,2003,65000,tonnes,Production
9,Argentina,Cotton lint,2004,112000,tonnes,Production
9,Argentina,Cotton lint,2005,160000,tonnes,Production
9,Argentina,Cotton lint,2006,145000,tonnes,Production
9,Argentina,Cotton lint,2007,170000,tonnes,Production
9,Argentina,Cotton lint,2008,166265,tonnes,Production
9,Argentina,Cotton lint,2009,135000,tonnes,Production
9,Argentina,Cotton lint,2010,248000,tonnes,Production
9,Argentina,Cotton lint,2011,340000,tonnes,Production
9,Argentina,Cotton lint,2012,234000,tonnes,Production
9,Argentina,Cotton lint,2013,190000,tonnes,Production
9,Argentina,Cotton lint,2014,327000,tonnes,Production
9,Argentina,Cotton lint,2015,303000,tonnes,Production
9,Argentina,Cotton lint,2016,290000,tonnes,Production
9,Argentina,Cotton lint,2017,260000,tonnes,Production
9,Argentina,Cotton lint,2018,300000,tonnes,Production
9,Argentina,Cottonseed,1961,223016,tonnes,Production
9,Argentina,Cottonseed,1962,198007,tonnes,Production
9,Argentina,Cottonseed,1963,237705,tonnes,Production
9,Argentina,Cottonseed,1964,180724,tonnes,Production
9,Argentina,Cottonseed,1965,267856,tonnes,Production
9,Argentina,Cottonseed,1966,213300,tonnes,Production
9,Argentina,Cottonseed,1967,158200,tonnes,Production
9,Argentina,Cottonseed,1968,138142,tonnes,Production
9,Argentina,Cottonseed,1969,218300,tonnes,Production
9,Argentina,Cottonseed,1970,271600,tonnes,Production
