Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_cereals_gg_ch4_ha
9,Argentina,Wheat,1961,5725000,tonnes,Production,0.51,2919750
9,Argentina,Wheat,1962,5700000,tonnes,Production,0.51,2907000
9,Argentina,Wheat,1963,8940000,tonnes,Production,0.51,4559400
9,Argentina,Wheat,1964,11260000,tonnes,Production,0.51,5742600
9,Argentina,Wheat,1965,6079000,tonnes,Production,0.51,3100290
9,Argentina,Wheat,1966,6247000,tonnes,Production,0.51,3185970
9,Argentina,Wheat,1967,7320000,tonnes,Production,0.51,3733200
9,Argentina,Wheat,1968,5740000,tonnes,Production,0.51,2927400
9,Argentina,Wheat,1969,7020000,tonnes,Production,0.51,3580200
9,Argentina,Wheat,1970,4920000,tonnes,Production,0.51,2509200
9,Argentina,Wheat,1971,5440000,tonnes,Production,0.51,2774400
9,Argentina,Wheat,1972,7900000,tonnes,Production,0.51,4029000
9,Argentina,Wheat,1973,6560000,tonnes,Production,0.51,3345600
9,Argentina,Wheat,1974,5970000,tonnes,Production,0.51,3044700
9,Argentina,Wheat,1975,8570000,tonnes,Production,0.51,4370700
9,Argentina,Wheat,1976,11582000,tonnes,Production,0.51,5906820
9,Argentina,Wheat,1977,5653100,tonnes,Production,0.51,2883081
9,Argentina,Wheat,1978,8469400,tonnes,Production,0.51,4319394
9,Argentina,Wheat,1979,8317800,tonnes,Production,0.51,4242078
9,Argentina,Wheat,1980,7974700,tonnes,Production,0.51,4067097
9,Argentina,Wheat,1981,8369600,tonnes,Production,0.51,4268496
9,Argentina,Wheat,1982,15097700,tonnes,Production,0.51,7699827
9,Argentina,Wheat,1983,13111400,tonnes,Production,0.51,6686814
9,Argentina,Wheat,1984,13678600,tonnes,Production,0.51,6976086
9,Argentina,Wheat,1985,8742800,tonnes,Production,0.51,4458828
9,Argentina,Wheat,1986,8756500,tonnes,Production,0.51,4465815
