Area Code (FAO),Nation,Item,Year,yf_agrc_cereals_tonne_ha,Unit,Element
9,Argentina,Barley,1961,10789,hg/ha,Yield
9,Argentina,Barley,1962,9559,hg/ha,Yield
9,Argentina,Barley,1963,14674,hg/ha,Yield
9,Argentina,Barley,1964,14948,hg/ha,Yield
9,Argentina,Barley,1965,10529,hg/ha,Yield
9,Argentina,Barley,1966,10665,hg/ha,Yield
9,Argentina,Barley,1967,11850,hg/ha,Yield
9,Argentina,Barley,1968,10319,hg/ha,Yield
9,Argentina,Barley,1969,12473,hg/ha,Yield
9,Argentina,Barley,1970,10303,hg/ha,Yield
9,Argentina,Barley,1971,11550,hg/ha,Yield
9,Argentina,Barley,1972,14637,hg/ha,Yield
9,Argentina,Barley,1973,14593,hg/ha,Yield
9,Argentina,Barley,1974,11663,hg/ha,Yield
9,Argentina,Barley,1975,11912,hg/ha,Yield
9,Argentina,Barley,1976,15963,hg/ha,Yield
9,Argentina,Barley,1977,11387,hg/ha,Yield
9,Argentina,Barley,1978,15606,hg/ha,Yield
9,Argentina,Barley,1979,13780,hg/ha,Yield
9,Argentina,Barley,1980,12572,hg/ha,Yield
9,Argentina,Barley,1981,11465,hg/ha,Yield
9,Argentina,Barley,1982,17780,hg/ha,Yield
9,Argentina,Barley,1983,17238,hg/ha,Yield
9,Argentina,Barley,1984,20896,hg/ha,Yield
9,Argentina,Barley,1985,15588,hg/ha,Yield
9,Argentina,Barley,1986,18346,hg/ha,Yield
9,Argentina,Barley,1987,21481,hg/ha,Yield
9,Argentina,Barley,1988,23627,hg/ha,Yield
9,Argentina,Barley,1989,22512,hg/ha,Yield
9,Argentina,Barley,1990,21934,hg/ha,Yield
9,Argentina,Barley,1991,24557,hg/ha,Yield
9,Argentina,Barley,1992,25501,hg/ha,Yield
9,Argentina,Barley,1993,23105,hg/ha,Yield
9,Argentina,Barley,1994,23093,hg/ha,Yield
9,Argentina,Barley,1995,17709,hg/ha,Yield
9,Argentina,Barley,1996,21470,hg/ha,Yield
9,Argentina,Barley,1997,28662,hg/ha,Yield
9,Argentina,Barley,1998,25377,hg/ha,Yield
9,Argentina,Barley,1999,22727,hg/ha,Yield
9,Argentina,Barley,2000,29153,hg/ha,Yield
9,Argentina,Barley,2001,21504,hg/ha,Yield
9,Argentina,Barley,2002,21927,hg/ha,Yield
9,Argentina,Barley,2003,30072,hg/ha,Yield
9,Argentina,Barley,2004,32495,hg/ha,Yield
9,Argentina,Barley,2005,29891,hg/ha,Yield
9,Argentina,Barley,2006,37574,hg/ha,Yield
9,Argentina,Barley,2007,35417,hg/ha,Yield
9,Argentina,Barley,2008,29500,hg/ha,Yield
9,Argentina,Barley,2009,26974,hg/ha,Yield
9,Argentina,Barley,2010,39710,hg/ha,Yield
9,Argentina,Barley,2011,36439,hg/ha,Yield
9,Argentina,Barley,2012,30440,hg/ha,Yield
9,Argentina,Barley,2013,39102,hg/ha,Yield
9,Argentina,Barley,2014,32642,hg/ha,Yield
9,Argentina,Barley,2015,32642,hg/ha,Yield
9,Argentina,Barley,2016,39608,hg/ha,Yield
9,Argentina,Barley,2017,42991,hg/ha,Yield
9,Argentina,Barley,2018,41827,hg/ha,Yield
9,Argentina,Barley,2019,40731,hg/ha,Yield
9,Argentina,Sorghum,1961,18771,hg/ha,Yield
9,Argentina,Sorghum,1962,18559,hg/ha,Yield
9,Argentina,Sorghum,1963,14200,hg/ha,Yield
9,Argentina,Sorghum,1964,15110,hg/ha,Yield
9,Argentina,Sorghum,1965,12913,hg/ha,Yield
9,Argentina,Sorghum,1966,21243,hg/ha,Yield
9,Argentina,Sorghum,1967,15659,hg/ha,Yield
9,Argentina,Sorghum,1968,16059,hg/ha,Yield
9,Argentina,Sorghum,1969,17964,hg/ha,Yield
9,Argentina,Sorghum,1970,19277,hg/ha,Yield
9,Argentina,Sorghum,1971,20191,hg/ha,Yield
9,Argentina,Sorghum,1972,15739,hg/ha,Yield
9,Argentina,Sorghum,1973,22667,hg/ha,Yield
9,Argentina,Sorghum,1974,24942,hg/ha,Yield
9,Argentina,Sorghum,1975,24563,hg/ha,Yield
9,Argentina,Sorghum,1976,27156,hg/ha,Yield
9,Argentina,Sorghum,1977,27347,hg/ha,Yield
9,Argentina,Sorghum,1978,31399,hg/ha,Yield
9,Argentina,Sorghum,1979,29668,hg/ha,Yield
9,Argentina,Sorghum,1980,23143,hg/ha,Yield
9,Argentina,Sorghum,1981,35952,hg/ha,Yield
9,Argentina,Sorghum,1982,31873,hg/ha,Yield
9,Argentina,Sorghum,1983,32143,hg/ha,Yield
9,Argentina,Sorghum,1984,29114,hg/ha,Yield
9,Argentina,Sorghum,1985,31552,hg/ha,Yield
