Nation,Year,Unit,pop_lvst_initial_cattle_nondairy
argentina,2011,Head,23986330.0
argentina,2012,Head,24932932.0
argentina,2013,Head,25498198.5
argentina,2014,Head,25823272.0
argentina,2015,Head,25714924.0
argentina,2016,Head,26318389.0
argentina,2017,Head,27396590.5
argentina,2018,Head,27396590.5
argentina,2019,Head,27503926.5
bahamas,2011,Head,375.0
bahamas,2012,Head,375.0
bahamas,2013,Head,375.0
bahamas,2014,Head,375.0
bahamas,2015,Head,374.0
bahamas,2016,Head,375.0
bahamas,2017,Head,383.0
bahamas,2018,Head,386.5
bahamas,2019,Head,388.5
barbados,2011,Head,5400.0
barbados,2012,Head,5500.0
barbados,2013,Head,5600.0
barbados,2014,Head,5550.0
barbados,2015,Head,5525.0
barbados,2016,Head,5517.0
barbados,2017,Head,5862.0
barbados,2018,Head,6008.0
barbados,2019,Head,6110.0
belize,2011,Head,49130.0
belize,2012,Head,51000.0
belize,2013,Head,56575.0
belize,2014,Head,47425.0
belize,2015,Head,48392.5
belize,2016,Head,48903.0
belize,2017,Head,51554.0
belize,2018,Head,52468.5
belize,2019,Head,53311.0
bolivia,2011,Head,4200219.5
bolivia,2012,Head,4310392.0
bolivia,2013,Head,4423717.0
bolivia,2014,Head,4399177.0
bolivia,2015,Head,4474301.0
bolivia,2016,Head,4559500.0
bolivia,2017,Head,4652000.0
bolivia,2018,Head,4778000.0
bolivia,2019,Head,4870737.0
brazil,2011,Head,106407655.5
brazil,2012,Head,105639541.0
brazil,2013,Head,105882146.0
brazil,2014,Head,106183066.0
brazil,2015,Head,107610254.0
brazil,2016,Head,109095384.0
brazil,2017,Head,107501789.0
brazil,2018,Head,106904722.5
brazil,2019,Head,107504479.0
chile,2011,Head,1879273.5
chile,2012,Head,1875000.0
chile,2013,Head,1503941.5
chile,2014,Head,1448166.5
chile,2015,Head,1367928.5
chile,2016,Head,1410387.0
chile,2017,Head,1445420.0
chile,2018,Head,1502092.5
chile,2019,Head,1554044.5
colombia,2011,Head,12578034.0
colombia,2012,Head,11821480.0
colombia,2013,Head,11504125.5
colombia,2014,Head,11287390.0
colombia,2015,Head,11263891.5
colombia,2016,Head,11277774.5
colombia,2017,Head,12164079.0
colombia,2018,Head,13010517.0
colombia,2019,Head,13619883.5
costa_rica,2011,Head,675000.0
costa_rica,2012,Head,650000.0
costa_rica,2013,Head,650000.0
costa_rica,2014,Head,650500.0
costa_rica,2015,Head,651927.0
costa_rica,2016,Head,695458.5
costa_rica,2017,Head,738436.5
costa_rica,2018,Head,791089.5
costa_rica,2019,Head,816733.5
dominican_republic,2011,Head,1475000.0
dominican_republic,2012,Head,1500000.0
dominican_republic,2013,Head,1500000.0
dominican_republic,2014,Head,1500000.0
dominican_republic,2015,Head,1497938.5
dominican_republic,2016,Head,1497071.5
dominican_republic,2017,Head,1500000.0
dominican_republic,2018,Head,1502230.5
dominican_republic,2019,Head,1519140.5
ecuador,2011,Head,2679452.0
ecuador,2012,Head,2617775.0
ecuador,2013,Head,2567061.0
ecuador,2014,Head,2289687.0
ecuador,2015,Head,2057606.5
ecuador,2016,Head,2063655.5
ecuador,2017,Head,2095305.5
ecuador,2018,Head,2028398.0
ecuador,2019,Head,2153122.0
el_salvador,2011,Head,507570.0
