Area Code (FAO),Nation,Item,Year,yf_agrc_fruits_tonne_ha,units,Element
9,Argentina,Maize,1961,17672,hg/ha,Yield
9,Argentina,Maize,1962,18936,hg/ha,Yield
9,Argentina,Maize,1963,16481,hg/ha,Yield
9,Argentina,Maize,1964,18010,hg/ha,Yield
9,Argentina,Maize,1965,16785,hg/ha,Yield
9,Argentina,Maize,1966,21499,hg/ha,Yield
9,Argentina,Maize,1967,24663,hg/ha,Yield
9,Argentina,Maize,1968,19421,hg/ha,Yield
9,Argentina,Maize,1969,19291,hg/ha,Yield
9,Argentina,Maize,1970,23299,hg/ha,Yield
9,Argentina,Maize,1971,24422,hg/ha,Yield
9,Argentina,Maize,1972,18620,hg/ha,Yield
9,Argentina,Maize,1973,27206,hg/ha,Yield
9,Argentina,Maize,1974,28399,hg/ha,Yield
9,Argentina,Maize,1975,25081,hg/ha,Yield
9,Argentina,Maize,1976,21169,hg/ha,Yield
9,Argentina,Maize,1977,32780,hg/ha,Yield
9,Argentina,Maize,1978,36466,hg/ha,Yield
9,Argentina,Maize,1979,31071,hg/ha,Yield
9,Argentina,Maize,1980,25703,hg/ha,Yield
9,Argentina,Maize,1981,38008,hg/ha,Yield
9,Argentina,Maize,1982,30284,hg/ha,Yield
9,Argentina,Maize,1983,30303,hg/ha,Yield
9,Argentina,Maize,1984,31407,hg/ha,Yield
9,Argentina,Maize,1985,35629,hg/ha,Yield
9,Argentina,Maize,1986,37450,hg/ha,Yield
9,Argentina,Maize,1987,31897,hg/ha,Yield
9,Argentina,Maize,1988,37744,hg/ha,Yield
9,Argentina,Maize,1989,29103,hg/ha,Yield
9,Argentina,Maize,1990,34608,hg/ha,Yield
9,Argentina,Maize,1991,40444,hg/ha,Yield
9,Argentina,Maize,1992,45237,hg/ha,Yield
9,Argentina,Maize,1993,43552,hg/ha,Yield
9,Argentina,Maize,1994,42371,hg/ha,Yield
9,Argentina,Maize,1995,45223,hg/ha,Yield
9,Argentina,Maize,1996,40397,hg/ha,Yield
9,Argentina,Maize,1997,45557,hg/ha,Yield
9,Argentina,Maize,1998,60780,hg/ha,Yield
9,Argentina,Maize,1999,53702,hg/ha,Yield
9,Argentina,Maize,2000,54329,hg/ha,Yield
9,Argentina,Maize,2001,54553,hg/ha,Yield
9,Argentina,Maize,2002,60791,hg/ha,Yield
9,Argentina,Maize,2003,64767,hg/ha,Yield
9,Argentina,Maize,2004,63931,hg/ha,Yield
9,Argentina,Maize,2005,73587,hg/ha,Yield
9,Argentina,Maize,2006,59030,hg/ha,Yield
9,Argentina,Maize,2007,76655,hg/ha,Yield
9,Argentina,Maize,2008,64525,hg/ha,Yield
9,Argentina,Maize,2009,55760,hg/ha,Yield
9,Argentina,Maize,2010,78040,hg/ha,Yield
9,Argentina,Maize,2011,63503,hg/ha,Yield
9,Argentina,Maize,2012,57346,hg/ha,Yield
9,Argentina,Maize,2013,66037,hg/ha,Yield
9,Argentina,Maize,2014,68409,hg/ha,Yield
9,Argentina,Maize,2015,73090,hg/ha,Yield
9,Argentina,Maize,2016,74427,hg/ha,Yield
9,Argentina,Maize,2017,75759,hg/ha,Yield
9,Argentina,Maize,2018,60883,hg/ha,Yield
9,Argentina,Maize,2019,78615,hg/ha,Yield
12,Bahamas,Maize,1961,6667,hg/ha,Yield
12,Bahamas,Maize,1962,8333,hg/ha,Yield
12,Bahamas,Maize,1963,8333,hg/ha,Yield
12,Bahamas,Maize,1964,8929,hg/ha,Yield
12,Bahamas,Maize,1965,9091,hg/ha,Yield
12,Bahamas,Maize,1966,9149,hg/ha,Yield
12,Bahamas,Maize,1967,9375,hg/ha,Yield
12,Bahamas,Maize,1968,9400,hg/ha,Yield
12,Bahamas,Maize,1969,9800,hg/ha,Yield
12,Bahamas,Maize,1970,9808,hg/ha,Yield
12,Bahamas,Maize,1971,9907,hg/ha,Yield
12,Bahamas,Maize,1972,9910,hg/ha,Yield
12,Bahamas,Maize,1973,10000,hg/ha,Yield
12,Bahamas,Maize,1974,10000,hg/ha,Yield
12,Bahamas,Maize,1975,10099,hg/ha,Yield
12,Bahamas,Maize,1976,10212,hg/ha,Yield
12,Bahamas,Maize,1977,10306,hg/ha,Yield
12,Bahamas,Maize,1978,11587,hg/ha,Yield
12,Bahamas,Maize,1979,11429,hg/ha,Yield
12,Bahamas,Maize,1980,11413,hg/ha,Yield
12,Bahamas,Maize,1981,11429,hg/ha,Yield
12,Bahamas,Maize,1982,11654,hg/ha,Yield
12,Bahamas,Maize,1983,12500,hg/ha,Yield
12,Bahamas,Maize,1984,13333,hg/ha,Yield
12,Bahamas,Maize,1985,13443,hg/ha,Yield
12,Bahamas,Maize,1986,13443,hg/ha,Yield
12,Bahamas,Maize,1987,13636,hg/ha,Yield
12,Bahamas,Maize,1988,14000,hg/ha,Yield
12,Bahamas,Maize,1989,14000,hg/ha,Yield
12,Bahamas,Maize,1990,15000,hg/ha,Yield
12,Bahamas,Maize,1991,16667,hg/ha,Yield
12,Bahamas,Maize,1992,16667,hg/ha,Yield
12,Bahamas,Maize,1993,16000,hg/ha,Yield
12,Bahamas,Maize,1994,17931,hg/ha,Yield
12,Bahamas,Maize,1995,17931,hg/ha,Yield
12,Bahamas,Maize,1996,17931,hg/ha,Yield
12,Bahamas,Maize,1997,17400,hg/ha,Yield
12,Bahamas,Maize,1998,19842,hg/ha,Yield
12,Bahamas,Maize,1999,21657,hg/ha,Yield
12,Bahamas,Maize,2000,24762,hg/ha,Yield
12,Bahamas,Maize,2001,30000,hg/ha,Yield
12,Bahamas,Maize,2002,30500,hg/ha,Yield
12,Bahamas,Maize,2003,34000,hg/ha,Yield
12,Bahamas,Maize,2004,35500,hg/ha,Yield
12,Bahamas,Maize,2005,36000,hg/ha,Yield
12,Bahamas,Maize,2006,38000,hg/ha,Yield
12,Bahamas,Maize,2007,40000,hg/ha,Yield
12,Bahamas,Maize,2008,47619,hg/ha,Yield
12,Bahamas,Maize,2009,60000,hg/ha,Yield
12,Bahamas,Maize,2010,75333,hg/ha,Yield
12,Bahamas,Maize,2011,73085,hg/ha,Yield
12,Bahamas,Maize,2012,73404,hg/ha,Yield
12,Bahamas,Maize,2013,74301,hg/ha,Yield
12,Bahamas,Maize,2014,75604,hg/ha,Yield
12,Bahamas,Maize,2015,82917,hg/ha,Yield
12,Bahamas,Maize,2016,86901,hg/ha,Yield
12,Bahamas,Maize,2017,90429,hg/ha,Yield
12,Bahamas,Maize,2018,94203,hg/ha,Yield
12,Bahamas,Maize,2019,97941,hg/ha,Yield
14,Barbados,Maize,1961,18842,hg/ha,Yield
14,Barbados,Maize,1962,25112,hg/ha,Yield
14,Barbados,Maize,1963,18830,hg/ha,Yield
14,Barbados,Maize,1964,17887,hg/ha,Yield
14,Barbados,Maize,1965,18667,hg/ha,Yield
14,Barbados,Maize,1966,20750,hg/ha,Yield
14,Barbados,Maize,1967,23256,hg/ha,Yield
14,Barbados,Maize,1968,23754,hg/ha,Yield
14,Barbados,Maize,1969,24027,hg/ha,Yield
14,Barbados,Maize,1970,24242,hg/ha,Yield
14,Barbados,Maize,1971,23333,hg/ha,Yield
14,Barbados,Maize,1972,27276,hg/ha,Yield
14,Barbados,Maize,1973,26316,hg/ha,Yield
14,Barbados,Maize,1974,26144,hg/ha,Yield
14,Barbados,Maize,1975,26144,hg/ha,Yield
14,Barbados,Maize,1976,26144,hg/ha,Yield
14,Barbados,Maize,1977,26144,hg/ha,Yield
14,Barbados,Maize,1978,26144,hg/ha,Yield
14,Barbados,Maize,1979,26144,hg/ha,Yield
14,Barbados,Maize,1980,25000,hg/ha,Yield
14,Barbados,Maize,1981,25000,hg/ha,Yield
14,Barbados,Maize,1982,25000,hg/ha,Yield
14,Barbados,Maize,1983,25000,hg/ha,Yield
14,Barbados,Maize,1984,27273,hg/ha,Yield
14,Barbados,Maize,1985,25000,hg/ha,Yield
14,Barbados,Maize,1986,25610,hg/ha,Yield
14,Barbados,Maize,1987,25610,hg/ha,Yield
14,Barbados,Maize,1988,26190,hg/ha,Yield
14,Barbados,Maize,1989,26190,hg/ha,Yield
14,Barbados,Maize,1990,26744,hg/ha,Yield
14,Barbados,Maize,1991,26250,hg/ha,Yield
14,Barbados,Maize,1992,25714,hg/ha,Yield
14,Barbados,Maize,1993,26667,hg/ha,Yield
14,Barbados,Maize,1994,26000,hg/ha,Yield
14,Barbados,Maize,1995,27500,hg/ha,Yield
14,Barbados,Maize,1996,26667,hg/ha,Yield
14,Barbados,Maize,1997,26000,hg/ha,Yield
14,Barbados,Maize,1998,26000,hg/ha,Yield
14,Barbados,Maize,1999,26000,hg/ha,Yield
14,Barbados,Maize,2000,26087,hg/ha,Yield
14,Barbados,Maize,2001,26042,hg/ha,Yield
14,Barbados,Maize,2002,26265,hg/ha,Yield
14,Barbados,Maize,2003,26300,hg/ha,Yield
14,Barbados,Maize,2004,26596,hg/ha,Yield
14,Barbados,Maize,2005,27368,hg/ha,Yield
14,Barbados,Maize,2006,27000,hg/ha,Yield
14,Barbados,Maize,2007,26667,hg/ha,Yield
14,Barbados,Maize,2008,27347,hg/ha,Yield
14,Barbados,Maize,2009,28280,hg/ha,Yield
14,Barbados,Maize,2010,28889,hg/ha,Yield
14,Barbados,Maize,2011,29889,hg/ha,Yield
14,Barbados,Maize,2012,32000,hg/ha,Yield
14,Barbados,Maize,2013,28333,hg/ha,Yield
14,Barbados,Maize,2014,27000,hg/ha,Yield
14,Barbados,Maize,2015,27111,hg/ha,Yield
14,Barbados,Maize,2016,28235,hg/ha,Yield
14,Barbados,Maize,2017,28462,hg/ha,Yield
14,Barbados,Maize,2018,28684,hg/ha,Yield
14,Barbados,Maize,2019,28000,hg/ha,Yield
14,Barbados,"Maize, green",1990,33600,hg/ha,Yield
14,Barbados,"Maize, green",1991,33600,hg/ha,Yield
14,Barbados,"Maize, green",1992,34727,hg/ha,Yield
14,Barbados,"Maize, green",1993,36000,hg/ha,Yield
14,Barbados,"Maize, green",1994,38833,hg/ha,Yield
14,Barbados,"Maize, green",1995,41209,hg/ha,Yield
14,Barbados,"Maize, green",1996,41209,hg/ha,Yield
14,Barbados,"Maize, green",1997,40625,hg/ha,Yield
14,Barbados,"Maize, green",1998,40625,hg/ha,Yield
14,Barbados,"Maize, green",1999,40625,hg/ha,Yield
14,Barbados,"Maize, green",2000,40184,hg/ha,Yield
14,Barbados,"Maize, green",2001,40000,hg/ha,Yield
14,Barbados,"Maize, green",2002,40476,hg/ha,Yield
14,Barbados,"Maize, green",2003,41176,hg/ha,Yield
14,Barbados,"Maize, green",2004,40000,hg/ha,Yield
14,Barbados,"Maize, green",2005,40000,hg/ha,Yield
14,Barbados,"Maize, green",2006,40000,hg/ha,Yield
14,Barbados,"Maize, green",2007,40000,hg/ha,Yield
14,Barbados,"Maize, green",2008,38883,hg/ha,Yield
14,Barbados,"Maize, green",2009,37344,hg/ha,Yield
14,Barbados,"Maize, green",2010,36170,hg/ha,Yield
14,Barbados,"Maize, green",2011,35191,hg/ha,Yield
14,Barbados,"Maize, green",2012,32787,hg/ha,Yield
14,Barbados,"Maize, green",2013,34743,hg/ha,Yield
14,Barbados,"Maize, green",2014,35294,hg/ha,Yield
14,Barbados,"Maize, green",2015,35595,hg/ha,Yield
14,Barbados,"Maize, green",2016,30000,hg/ha,Yield
14,Barbados,"Maize, green",2017,26964,hg/ha,Yield
14,Barbados,"Maize, green",2018,24469,hg/ha,Yield
14,Barbados,"Maize, green",2019,22408,hg/ha,Yield
23,Belize,Maize,1961,5746,hg/ha,Yield
23,Belize,Maize,1962,5825,hg/ha,Yield
23,Belize,Maize,1963,6143,hg/ha,Yield
23,Belize,Maize,1964,5469,hg/ha,Yield
23,Belize,Maize,1965,6552,hg/ha,Yield
23,Belize,Maize,1966,4873,hg/ha,Yield
23,Belize,Maize,1967,11140,hg/ha,Yield
23,Belize,Maize,1968,10600,hg/ha,Yield
23,Belize,Maize,1969,10858,hg/ha,Yield
23,Belize,Maize,1970,15692,hg/ha,Yield
23,Belize,Maize,1971,15493,hg/ha,Yield
23,Belize,Maize,1972,13216,hg/ha,Yield
23,Belize,Maize,1973,16402,hg/ha,Yield
23,Belize,Maize,1974,11208,hg/ha,Yield
23,Belize,Maize,1975,10408,hg/ha,Yield
23,Belize,Maize,1976,14438,hg/ha,Yield
23,Belize,Maize,1977,13465,hg/ha,Yield
23,Belize,Maize,1978,17213,hg/ha,Yield
23,Belize,Maize,1979,15244,hg/ha,Yield
23,Belize,Maize,1980,17891,hg/ha,Yield
23,Belize,Maize,1981,18444,hg/ha,Yield
23,Belize,Maize,1982,19257,hg/ha,Yield
