Year,Nation,ef_agrc_biomassburning_fruits_kg_n2o_ha,units
2019,argentina,2.25,kg_n2o/ha
2019,bahamas,2.25,kg_n2o/ha
2019,barbados,2.25,kg_n2o/ha
2019,belize,2.25,kg_n2o/ha
2019,bolivia,2.25,kg_n2o/ha
2019,brazil,2.25,kg_n2o/ha
2019,chile,2.25,kg_n2o/ha
2019,colombia,2.25,kg_n2o/ha
2019,costa_rica,2.25,kg_n2o/ha
2019,dominican_republic,2.25,kg_n2o/ha
2019,ecuador,2.25,kg_n2o/ha
2019,el_salvador,2.25,kg_n2o/ha
2019,guatemala,2.25,kg_n2o/ha
2019,guyana,2.25,kg_n2o/ha
2019,haiti,2.25,kg_n2o/ha
2019,honduras,2.25,kg_n2o/ha
2019,jamaica,2.25,kg_n2o/ha
2019,mexico,2.25,kg_n2o/ha
2019,nicaragua,2.25,kg_n2o/ha
2019,panama,2.25,kg_n2o/ha
2019,paraguay,2.25,kg_n2o/ha
2019,peru,2.25,kg_n2o/ha
2019,suriname,2.25,kg_n2o/ha
2019,trinidad_and_tobago,2.25,kg_n2o/ha
2019,uruguay,2.25,kg_n2o/ha
2019,venezuela,2.25,kg_n2o/ha
2018,argentina,2.25,kg_n2o/ha
2018,bahamas,2.25,kg_n2o/ha
2018,barbados,2.25,kg_n2o/ha
2018,belize,2.25,kg_n2o/ha
2018,bolivia,2.25,kg_n2o/ha
2018,brazil,2.25,kg_n2o/ha
2018,chile,2.25,kg_n2o/ha
2018,colombia,2.25,kg_n2o/ha
2018,costa_rica,2.25,kg_n2o/ha
2018,dominican_republic,2.25,kg_n2o/ha
2018,ecuador,2.25,kg_n2o/ha
2018,el_salvador,2.25,kg_n2o/ha
2018,guatemala,2.25,kg_n2o/ha
2018,guyana,2.25,kg_n2o/ha
2018,haiti,2.25,kg_n2o/ha
2018,honduras,2.25,kg_n2o/ha
2018,jamaica,2.25,kg_n2o/ha
2018,mexico,2.25,kg_n2o/ha
2018,nicaragua,2.25,kg_n2o/ha
2018,panama,2.25,kg_n2o/ha
2018,paraguay,2.25,kg_n2o/ha
2018,peru,2.25,kg_n2o/ha
2018,suriname,2.25,kg_n2o/ha
2018,trinidad_and_tobago,2.25,kg_n2o/ha
2018,uruguay,2.25,kg_n2o/ha
2018,venezuela,2.25,kg_n2o/ha
2017,argentina,2.25,kg_n2o/ha
2017,bahamas,2.25,kg_n2o/ha
2017,barbados,2.25,kg_n2o/ha
2017,belize,2.25,kg_n2o/ha
2017,bolivia,2.25,kg_n2o/ha
2017,brazil,2.25,kg_n2o/ha
2017,chile,2.25,kg_n2o/ha
2017,colombia,2.25,kg_n2o/ha
2017,costa_rica,2.25,kg_n2o/ha
2017,dominican_republic,2.25,kg_n2o/ha
2017,ecuador,2.25,kg_n2o/ha
2017,el_salvador,2.25,kg_n2o/ha
2017,guatemala,2.25,kg_n2o/ha
2017,guyana,2.25,kg_n2o/ha
2017,haiti,2.25,kg_n2o/ha
2017,honduras,2.25,kg_n2o/ha
2017,jamaica,2.25,kg_n2o/ha
2017,mexico,2.25,kg_n2o/ha
2017,nicaragua,2.25,kg_n2o/ha
2017,panama,2.25,kg_n2o/ha
2017,paraguay,2.25,kg_n2o/ha
2017,peru,2.25,kg_n2o/ha
2017,suriname,2.25,kg_n2o/ha
2017,trinidad_and_tobago,2.25,kg_n2o/ha
2017,uruguay,2.25,kg_n2o/ha
2017,venezuela,2.25,kg_n2o/ha
2016,argentina,2.25,kg_n2o/ha
2016,bahamas,2.25,kg_n2o/ha
2016,barbados,2.25,kg_n2o/ha
2016,belize,2.25,kg_n2o/ha
2016,bolivia,2.25,kg_n2o/ha
2016,brazil,2.25,kg_n2o/ha
2016,chile,2.25,kg_n2o/ha
2016,colombia,2.25,kg_n2o/ha
2016,costa_rica,2.25,kg_n2o/ha
2016,dominican_republic,2.25,kg_n2o/ha
2016,ecuador,2.25,kg_n2o/ha
2016,el_salvador,2.25,kg_n2o/ha
2016,guatemala,2.25,kg_n2o/ha
2016,guyana,2.25,kg_n2o/ha
2016,haiti,2.25,kg_n2o/ha
2016,honduras,2.25,kg_n2o/ha
2016,jamaica,2.25,kg_n2o/ha
2016,mexico,2.25,kg_n2o/ha
2016,nicaragua,2.25,kg_n2o/ha
2016,panama,2.25,kg_n2o/ha
2016,paraguay,2.25,kg_n2o/ha
2016,peru,2.25,kg_n2o/ha
2016,suriname,2.25,kg_n2o/ha
2016,trinidad_and_tobago,2.25,kg_n2o/ha
2016,uruguay,2.25,kg_n2o/ha
2016,venezuela,2.25,kg_n2o/ha
2015,argentina,2.25,kg_n2o/ha
2015,bahamas,2.25,kg_n2o/ha
2015,barbados,2.25,kg_n2o/ha
2015,belize,2.25,kg_n2o/ha
2015,bolivia,2.25,kg_n2o/ha
2015,brazil,2.25,kg_n2o/ha
2015,chile,2.25,kg_n2o/ha
2015,colombia,2.25,kg_n2o/ha
2015,costa_rica,2.25,kg_n2o/ha
2015,dominican_republic,2.25,kg_n2o/ha
2015,ecuador,2.25,kg_n2o/ha
2015,el_salvador,2.25,kg_n2o/ha
2015,guatemala,2.25,kg_n2o/ha
2015,guyana,2.25,kg_n2o/ha
2015,haiti,2.25,kg_n2o/ha
2015,honduras,2.25,kg_n2o/ha
2015,jamaica,2.25,kg_n2o/ha
2015,mexico,2.25,kg_n2o/ha
2015,nicaragua,2.25,kg_n2o/ha
2015,panama,2.25,kg_n2o/ha
2015,paraguay,2.25,kg_n2o/ha
2015,peru,2.25,kg_n2o/ha
2015,suriname,2.25,kg_n2o/ha
2015,trinidad_and_tobago,2.25,kg_n2o/ha
2015,uruguay,2.25,kg_n2o/ha
2015,venezuela,2.25,kg_n2o/ha
2014,argentina,2.25,kg_n2o/ha
