Area Code (FAO),Nation,Item,Year,yf_agrc_tubers_tonne_ha,Unit,Element
9,Argentina,Cassava,1961,125810,hg/ha,Yield
9,Argentina,Cassava,1962,121543,hg/ha,Yield
9,Argentina,Cassava,1963,121185,hg/ha,Yield
9,Argentina,Cassava,1964,115481,hg/ha,Yield
9,Argentina,Cassava,1965,111282,hg/ha,Yield
9,Argentina,Cassava,1966,115625,hg/ha,Yield
9,Argentina,Cassava,1967,119134,hg/ha,Yield
9,Argentina,Cassava,1968,110449,hg/ha,Yield
9,Argentina,Cassava,1969,118815,hg/ha,Yield
9,Argentina,Cassava,1970,112674,hg/ha,Yield
9,Argentina,Cassava,1971,115234,hg/ha,Yield
9,Argentina,Cassava,1972,100578,hg/ha,Yield
9,Argentina,Cassava,1973,87798,hg/ha,Yield
9,Argentina,Cassava,1974,127692,hg/ha,Yield
9,Argentina,Cassava,1975,150175,hg/ha,Yield
9,Argentina,Cassava,1976,102133,hg/ha,Yield
9,Argentina,Cassava,1977,85514,hg/ha,Yield
9,Argentina,Cassava,1978,84651,hg/ha,Yield
9,Argentina,Cassava,1979,85514,hg/ha,Yield
9,Argentina,Cassava,1980,96391,hg/ha,Yield
9,Argentina,Cassava,1981,91927,hg/ha,Yield
9,Argentina,Cassava,1982,90756,hg/ha,Yield
9,Argentina,Cassava,1983,86875,hg/ha,Yield
9,Argentina,Cassava,1984,89216,hg/ha,Yield
9,Argentina,Cassava,1985,91408,hg/ha,Yield
9,Argentina,Cassava,1986,120076,hg/ha,Yield
9,Argentina,Cassava,1987,101575,hg/ha,Yield
9,Argentina,Cassava,1988,100000,hg/ha,Yield
9,Argentina,Cassava,1989,100000,hg/ha,Yield
9,Argentina,Cassava,1990,100000,hg/ha,Yield
9,Argentina,Cassava,1991,100000,hg/ha,Yield
9,Argentina,Cassava,1992,100000,hg/ha,Yield
9,Argentina,Cassava,1993,100000,hg/ha,Yield
9,Argentina,Cassava,1994,100000,hg/ha,Yield
9,Argentina,Cassava,1995,100000,hg/ha,Yield
9,Argentina,Cassava,1996,100000,hg/ha,Yield
9,Argentina,Cassava,1997,100000,hg/ha,Yield
9,Argentina,Cassava,1998,100000,hg/ha,Yield
9,Argentina,Cassava,1999,100000,hg/ha,Yield
9,Argentina,Cassava,2000,100000,hg/ha,Yield
9,Argentina,Cassava,2001,100000,hg/ha,Yield
9,Argentina,Cassava,2002,100000,hg/ha,Yield
9,Argentina,Cassava,2003,100000,hg/ha,Yield
9,Argentina,Cassava,2004,100000,hg/ha,Yield
9,Argentina,Cassava,2005,100000,hg/ha,Yield
9,Argentina,Cassava,2006,100000,hg/ha,Yield
9,Argentina,Cassava,2007,100000,hg/ha,Yield
9,Argentina,Cassava,2008,100000,hg/ha,Yield
9,Argentina,Cassava,2009,101695,hg/ha,Yield
9,Argentina,Cassava,2010,101000,hg/ha,Yield
9,Argentina,Cassava,2011,100000,hg/ha,Yield
9,Argentina,Cassava,2012,100000,hg/ha,Yield
9,Argentina,Cassava,2013,99459,hg/ha,Yield
9,Argentina,Cassava,2014,99211,hg/ha,Yield
9,Argentina,Cassava,2015,100163,hg/ha,Yield
9,Argentina,Cassava,2016,100145,hg/ha,Yield
9,Argentina,Cassava,2017,100152,hg/ha,Yield
9,Argentina,Cassava,2018,100163,hg/ha,Yield
9,Argentina,Cassava,2019,100170,hg/ha,Yield
9,Argentina,Potatoes,1961,102110,hg/ha,Yield
9,Argentina,Potatoes,1962,82576,hg/ha,Yield
9,Argentina,Potatoes,1963,87699,hg/ha,Yield
9,Argentina,Potatoes,1964,83457,hg/ha,Yield
9,Argentina,Potatoes,1965,122170,hg/ha,Yield
9,Argentina,Potatoes,1966,90025,hg/ha,Yield
9,Argentina,Potatoes,1967,110138,hg/ha,Yield
9,Argentina,Potatoes,1968,98431,hg/ha,Yield
9,Argentina,Potatoes,1969,115387,hg/ha,Yield
9,Argentina,Potatoes,1970,123156,hg/ha,Yield
