variable,valor_fake,valor_observado
ef_agrc_biomassburning_bevs_and_spices_kg_n2o_ha,9.84,16780.0
ef_agrc_biomassburning_cereals_kg_n2o_ha,3.22,16780.0
ef_agrc_biomassburning_coffee_kg_n2o_ha,9.84,16780.0
ef_agrc_biomassburning_fibers_kg_n2o_ha,3.22,16780.0
ef_agrc_biomassburning_fruits_kg_n2o_ha,2.25,16780.0
ef_agrc_biomassburning_maize_kg_n2o_ha,4.32,16780.0
ef_agrc_biomassburning_nuts_kg_n2o_ha,1.79,16780.0
ef_agrc_biomassburning_oil_bearing_kg_n2o_ha,3.83,16780.0
ef_agrc_biomassburning_pulses_kg_n2o_ha,1.79,16780.0
ef_agrc_biomassburning_rice_kg_n2o_ha,0.0,16780.0
ef_agrc_biomassburning_tubers_kg_n2o_ha,1.01,16780.0
ef_agrc_biomassburning_vegetables_kg_n2o_ha,5.13,16780.0
ef_agrc_biomassdom_bevs_and_spices_kg_co2_tonne,0.0984,5910.0
ef_agrc_biomassdom_cereals_kg_co2_tonne,0.0322,5910.0
ef_agrc_biomassdom_coffee_kg_co2_tonne,0.0984,5910.0
ef_agrc_biomassdom_fibers_kg_co2_tonne,0.0322,5910.0
ef_agrc_biomassdom_fruits_kg_co2_tonne,0.0225,5910.0
ef_agrc_biomassdom_maize_kg_co2_tonne,0.0432,5910.0
ef_agrc_biomassdom_nuts_kg_co2_tonne,0.0179,5910.0
ef_agrc_biomassdom_oil_bearing_kg_co2_tonne,0.0383,5910.0
ef_agrc_biomassdom_pulses_kg_co2_tonne,0.0179,5910.0
ef_agrc_biomassdom_rice_kg_co2_tonne,0.0,5910.0
ef_agrc_biomassdom_tubers_kg_co2_tonne,0.0101,5910.0
ef_agrc_biomassdom_vegetables_kg_co2_tonne,0.0513,5910.0
ef_agrc_soilcarbon_bevs_and_spices_kg_co2_ha,9.84,20000.0
ef_agrc_soilcarbon_cereals_kg_co2_ha,3.22,20000.0
ef_agrc_soilcarbon_coffee_kg_co2_ha,9.84,20000.0
ef_agrc_soilcarbon_fibers_kg_co2_ha,3.22,20000.0
ef_agrc_soilcarbon_fruits_kg_co2_ha,2.25,20000.0
ef_agrc_soilcarbon_maize_kg_co2_ha,4.32,20000.0
ef_agrc_soilcarbon_nuts_kg_co2_ha,1.79,20000.0
ef_agrc_soilcarbon_oil_bearing_kg_co2_ha,3.83,20000.0
ef_agrc_soilcarbon_pulses_kg_co2_ha,1.79,20000.0
ef_agrc_soilcarbon_rice_kg_co2_ha,0.0,20000.0
ef_agrc_soilcarbon_tubers_kg_co2_ha,1.01,20000.0
ef_agrc_soilcarbon_vegetables_kg_co2_ha,5.13,20000.0
ef_frst_forestmethane_mangroves_gg_ch4_ha,1e-06,1.4824
ef_frst_forestmethane_primary_gg_ch4_ha,1e-06,3.5482
ef_lvst_mm_buffalo_kg_n2o_head,1.848836858,0.5018
frac_agrc_initial_yield_feed_cereals,0.3,0.1204379562043795
frac_agrc_initial_yield_feed_fruits,0.0,0.1204379562043795
frac_agrc_initial_yield_feed_maize,0.4,0.2773722627737226
frac_agrc_initial_yield_feed_pulses,0.0,0.1204379562043795
frac_agrc_initial_yield_feed_rice,0.0,0.1204379562043795
frac_agrc_initial_yield_feed_tubers,0.0,0.1204379562043795
frac_agrc_initial_yield_feed_vegetables,0.0,0.1204379562043795
pop_lvst_initial_buffalo,4313.0,0.0
pop_lvst_initial_cattle_dairy,393280.0,23986330.0
pop_lvst_initial_cattle_nondairy,1190205.0,23986330.0
pop_lvst_initial_chickens,24109000.0,100000.0
pop_lvst_initial_goats,25082.0,4280000.0
pop_lvst_initial_horses,126033.0,3590000.0
pop_lvst_initial_mules,5273.0,98000.0
pop_lvst_initial_pigs,462282.0,3437003.0
pop_lvst_initial_sheep,2890.0,14731000.0
qty_lvst_daily_dry_matter_consumed_buffalo_kg,16.36363636,2022-02-16
qty_lvst_daily_dry_matter_consumed_cattle_dairy_kg,9.090909091,9.0
qty_lvst_daily_dry_matter_consumed_cattle_nondairy_kg,9.090909091,2022-08-06
qty_lvst_daily_dry_matter_consumed_chickens_kg,0.0,0.1
qty_lvst_daily_dry_matter_consumed_goats_kg,0.909090909,0.9
qty_lvst_daily_dry_matter_consumed_horses_kg,16.36363636,16.32
qty_lvst_daily_dry_matter_consumed_mules_kg,9.545454545,2022-05-09
qty_lvst_daily_dry_matter_consumed_pigs_kg,0.0,2022-02-03
qty_lvst_daily_dry_matter_consumed_sheep_kg,1.363636364,1.36
yf_agrc_bevs_and_spices_tonne_ha,1.98,1.98
yf_agrc_cereals_tonne_ha,4.29,115531.0
yf_agrc_coffee_tonne_ha,1.01,1.01
yf_agrc_fibers_tonne_ha,0.71,42593.0
yf_agrc_fruits_tonne_ha,52.96,63503.0
yf_agrc_nuts_tonne_ha,1.3,45135.0
yf_agrc_oil_bearing_tonne_ha,1.0,1.0
yf_agrc_pulses_tonne_ha,0.62,161585.0
yf_agrc_rice_tonne_ha,2.9,67901.0
yf_agrc_tubers_tonne_ha,20.0,547681.0
yf_agrc_vegetables_tonne_ha,2.8,1379238.0
