Year,Country,Value
1990,Argentina,9389
1991,Argentina,
1992,Argentina,
1993,Argentina,
1994,Argentina,10249
1995,Argentina,
1996,Argentina,
1997,Argentina,11650
1998,Argentina,
1999,Argentina,
2000,Argentina,14012
2001,Argentina,
2002,Argentina,
2003,Argentina,
2004,Argentina,
2005,Argentina,
2006,Argentina,
2007,Argentina,
2008,Argentina,
2009,Argentina,
2010,Argentina,19863
2011,Argentina,
2012,Argentina,20777
2013,Argentina,
2014,Argentina,
2015,Argentina,
2016,Argentina,
2017,Argentina,
2018,Argentina,
1990,Bahamas,21
1991,Bahamas,
1992,Bahamas,
1993,Bahamas,
1994,Bahamas,
1995,Bahamas,
1996,Bahamas,
1997,Bahamas,
1998,Bahamas,
1999,Bahamas,
2000,Bahamas,241
2001,Bahamas,
2002,Bahamas,
2003,Bahamas,
2004,Bahamas,
2005,Bahamas,
2006,Bahamas,
2007,Bahamas,
2008,Bahamas,
2009,Bahamas,
2010,Bahamas,
2011,Bahamas,
2012,Bahamas,
2013,Bahamas,
2014,Bahamas,
2015,Bahamas,
2016,Bahamas,
2017,Bahamas,
2018,Bahamas,
1990,Barbados,1644
1991,Barbados,
1992,Barbados,
1993,Barbados,
1994,Barbados,1770
1995,Barbados,
1996,Barbados,
1997,Barbados,1791
1998,Barbados,
1999,Barbados,
2000,Barbados,232
2001,Barbados,236
2002,Barbados,243
2003,Barbados,253
2004,Barbados,261
2005,Barbados,272
2006,Barbados,280
2007,Barbados,290
2008,Barbados,299
2009,Barbados,305
2010,Barbados,295
2011,Barbados,
2012,Barbados,
2013,Barbados,
2014,Barbados,
2015,Barbados,
2016,Barbados,
2017,Barbados,
2018,Barbados,
1990,Belize,
1991,Belize,
1992,Belize,
1993,Belize,
1994,Belize,5457
1995,Belize,
1996,Belize,
1997,Belize,
1998,Belize,
1999,Belize,
2000,Belize,77
2001,Belize,
2002,Belize,
2003,Belize,121
2004,Belize,
2005,Belize,
2006,Belize,143
2007,Belize,
2008,Belize,
2009,Belize,150
2010,Belize,
2011,Belize,
2012,Belize,
2013,Belize,
2014,Belize,
2015,Belize,
2016,Belize,
2017,Belize,
2018,Belize,
1990,Bolivia (Plurinational State of),179
1991,Bolivia (Plurinational State of),
1992,Bolivia (Plurinational State of),
1993,Bolivia (Plurinational State of),
1994,Bolivia (Plurinational State of),537
1995,Bolivia (Plurinational State of),
1996,Bolivia (Plurinational State of),
1997,Bolivia (Plurinational State of),
1998,Bolivia (Plurinational State of),1101
1999,Bolivia (Plurinational State of),
2000,Bolivia (Plurinational State of),1244
2001,Bolivia (Plurinational State of),
2002,Bolivia (Plurinational State of),1637
2003,Bolivia (Plurinational State of),
2004,Bolivia (Plurinational State of),1702
2005,Bolivia (Plurinational State of),
2006,Bolivia (Plurinational State of),
2007,Bolivia (Plurinational State of),
2008,Bolivia (Plurinational State of),
2009,Bolivia (Plurinational State of),
2010,Bolivia (Plurinational State of),
2011,Bolivia (Plurinational State of),
2012,Bolivia (Plurinational State of),
2013,Bolivia (Plurinational State of),
2014,Bolivia (Plurinational State of),
2015,Bolivia (Plurinational State of),
2016,Bolivia (Plurinational State of),
2017,Bolivia (Plurinational State of),
2018,Bolivia (Plurinational State of),
1990,Brazil,27595
1991,Brazil,28649
1992,Brazil,29799
1993,Brazil,30799
1994,Brazil,31900
1995,Brazil,33136
1996,Brazil,34393
1997,Brazil,35689
1998,Brazil,36886
1999,Brazil,38395
2000,Brazil,39630
2001,Brazil,40807
2002,Brazil,42602
2003,Brazil,44397
2004,Brazil,45335
2005,Brazil,46812
2006,Brazil,48228
2007,Brazil,49484
2008,Brazil,50221
2009,Brazil,50776
2010,Brazil,53053
2011,Brazil,55603
2012,Brazil,56573
2013,Brazil,60872
2014,Brazil,61702
2015,Brazil,61939
2016,Brazil,62884
2017,Brazil,
2018,Brazil,
1990,Chile,1310
1991,Chile,
1992,Chile,
1993,Chile,257
1994,Chile,1658
1995,Chile,
1996,Chile,
1997,Chile,
1998,Chile,
1999,Chile,
2000,Chile,2353
2001,Chile,
2002,Chile,
2003,Chile,
2004,Chile,
2005,Chile,
2006,Chile,2489
2007,Chile,
2008,Chile,
2009,Chile,
2010,Chile,3533
2011,Chile,
2012,Chile,
2013,Chile,4355
2014,Chile,
2015,Chile,
2016,Chile,5190
2017,Chile,
2018,Chile,5921
1990,Colombia,7445
1991,Colombia,
1992,Colombia,
1993,Colombia,
1994,Colombia,8482
1995,Colombia,
1996,Colombia,
1997,Colombia,
1998,Colombia,
1999,Colombia,
2000,Colombia,9316
2001,Colombia,
2002,Colombia,
2003,Colombia,
2004,Colombia,10277
2005,Colombia,
2006,Colombia,
2007,Colombia,
2008,Colombia,
2009,Colombia,
2010,Colombia,
2011,Colombia,
2012,Colombia,
2013,Colombia,
2014,Colombia,
2015,Colombia,
2016,Colombia,
2017,Colombia,
2018,Colombia,
1990,Costa Rica,430
1991,Costa Rica,
1992,Costa Rica,
1993,Costa Rica,
1994,Costa Rica,
1995,Costa Rica,
1996,Costa Rica,870
1997,Costa Rica,
1998,Costa Rica,
1999,Costa Rica,
2000,Costa Rica,1236
2001,Costa Rica,
2002,Costa Rica,
2003,Costa Rica,
2004,Costa Rica,
2005,Costa Rica,1320
2006,Costa Rica,
2007,Costa Rica,
2008,Costa Rica,
2009,Costa Rica,
2010,Costa Rica,
2011,Costa Rica,
2012,Costa Rica,
2013,Costa Rica,
2014,Costa Rica,
2015,Costa Rica,
2016,Costa Rica,
2017,Costa Rica,
2018,Costa Rica,
1990,Dominican Republic,1305
1991,Dominican Republic,
1992,Dominican Republic,
1993,Dominican Republic,
1994,Dominican Republic,2519
1995,Dominican Republic,
1996,Dominican Republic,
1997,Dominican Republic,
1998,Dominican Republic,1615
1999,Dominican Republic,
2000,Dominican Republic,1673
2001,Dominican Republic,
2002,Dominican Republic,
2003,Dominican Republic,
2004,Dominican Republic,
2005,Dominican Republic,
2006,Dominican Republic,
2007,Dominican Republic,
2008,Dominican Republic,
2009,Dominican Republic,
2010,Dominican Republic,4390
2011,Dominican Republic,
2012,Dominican Republic,
2013,Dominican Republic,
2014,Dominican Republic,
2015,Dominican Republic,
2016,Dominican Republic,
2017,Dominican Republic,
2018,Dominican Republic,
1990,Ecuador,4653
1991,Ecuador,
1992,Ecuador,
1993,Ecuador,
1994,Ecuador,1433
1995,Ecuador,
1996,Ecuador,
1997,Ecuador,
1998,Ecuador,
1999,Ecuador,
2000,Ecuador,1688
2001,Ecuador,
2002,Ecuador,
2003,Ecuador,
2004,Ecuador,
2005,Ecuador,
2006,Ecuador,1845
2007,Ecuador,
2008,Ecuador,
2009,Ecuador,
2010,Ecuador,3345
2011,Ecuador,
2012,Ecuador,3378
2013,Ecuador,
2014,Ecuador,
2015,Ecuador,
2016,Ecuador,
2017,Ecuador,
2018,Ecuador,
1990,El Salvador,
1991,El Salvador,
1992,El Salvador,
1993,El Salvador,
1994,El Salvador,876
1995,El Salvador,
1996,El Salvador,
1997,El Salvador,
