variable,min_35,max_35,sector,var_change_over_time,group
density_wali_kg_n_per_m3_ww_industrial,0.5,2.0,CircularEconomy,0,0.0
logelasticity_wali_qty_prod_to_gdp_per_capita,0.8,1.2,CircularEconomy,0,0.0
physparam_wali_bo_tonne_ch4_tonne_bod,0.8,1.2,CircularEconomy,0,0.0
physparam_wali_bo_tonne_ch4_tonne_cod,0.8,1.2,CircularEconomy,0,0.0
physparam_wali_daily_kg_bod_per_capita,0.78,1.22,CircularEconomy,0,0.0
physparam_wali_p_per_bod,0.7,1.3,CircularEconomy,0,0.0
physparam_wali_p_per_cod,0.7,1.3,CircularEconomy,0,0.0
physparam_wali_tonne_cod_per_mmm_gdp,0.37,2.17,CircularEconomy,0,0.0
qty_wali_m3_ww_domestic_rural_per_capita,0.8,1.2,CircularEconomy,0,0.0
qty_wali_m3_ww_domestic_urban_per_capita,0.8,1.2,CircularEconomy,0,0.0
qty_wali_m3_ww_industrial_per_gdp,0.8,1.2,CircularEconomy,0,0.0
ef_waso_biogas_kg_ch4_per_kg_food,0.57,1.43,CircularEconomy,0,0.0
ef_waso_biogas_kg_ch4_per_kg_sludge,0.57,1.43,CircularEconomy,0,0.0
ef_waso_biogas_kg_ch4_per_kg_yard,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_ch4_per_kg_food,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_ch4_per_kg_sludge,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_ch4_per_kg_yard,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_n2o_per_kg_food,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_n2o_per_kg_sludge,0.57,1.43,CircularEconomy,0,0.0
ef_waso_compost_kg_n2o_per_kg_yard,0.57,1.43,CircularEconomy,0,0.0
ef_waso_incineration_kg_ch4_per_kg_isw,0.2,2.0,CircularEconomy,0,0.0
ef_waso_incineration_kg_ch4_per_kg_msw,0.2,2.0,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_food,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_glass,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_metal,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_nappies,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_other,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_paper,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_plastic,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_sludge,0.95,1.05,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_textiles,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_wood,0.8,1.2,CircularEconomy,0,0.0
ef_waso_incineration_tonne_n2o_per_tonne_yard,0.8,1.2,CircularEconomy,0,0.0
elasticity_waso_msw_to_gdppc_food,0.1,16.6666666666667,CircularEconomy,0,0.0
