Nation,iso_code3,Code,Year,frac_enfu_fuel_demand_imported_pj_fuel_natural_gas
argentina,ARG,32,1960,0.0
argentina,ARG,32,1961,0.0
argentina,ARG,32,1962,0.0
argentina,ARG,32,1963,0.0
argentina,ARG,32,1964,0.0
argentina,ARG,32,1965,0.0
argentina,ARG,32,1966,0.0
argentina,ARG,32,1967,0.0
argentina,ARG,32,1968,0.0
argentina,ARG,32,1969,0.0
argentina,ARG,32,1970,0.0
argentina,ARG,32,1971,0.0
argentina,ARG,32,1972,0.8302292243778817
argentina,ARG,32,1973,0.8149993671617479
argentina,ARG,32,1974,0.7840620867345776
argentina,ARG,32,1975,0.7214066817538634
argentina,ARG,32,1976,0.8205267731029935
argentina,ARG,32,1977,0.798142116806739
argentina,ARG,32,1978,0.8477634419398563
argentina,ARG,32,1979,0.7989751890182487
argentina,ARG,32,1980,0.8308244826406243
argentina,ARG,32,1981,0.8653004755774124
argentina,ARG,32,1982,0.8635463975015596
argentina,ARG,32,1983,0.9059311389094414
argentina,ARG,32,1984,0.9009318815226719
argentina,ARG,32,1985,0.8641245496803717
argentina,ARG,32,1986,0.8078556166334899
argentina,ARG,32,1987,0.7961264199176079
argentina,ARG,32,1988,0.7564446674192065
argentina,ARG,32,1989,0.7803492296419094
argentina,ARG,32,1990,0.7252628373848302
argentina,ARG,32,1991,0.7666777352659333
argentina,ARG,32,1992,0.6322178224422697
argentina,ARG,32,1993,0.669663136504525
argentina,ARG,32,1994,0.723660379429575
argentina,ARG,32,1995,0.641200692302592
argentina,ARG,32,1996,0.5927678430681402
argentina,ARG,32,1997,0.47822578839504354
argentina,ARG,32,1998,0.4015383748525954
argentina,ARG,32,1999,0.16443687848365623
argentina,ARG,32,2000,0.0
argentina,ARG,32,2001,0.0
argentina,ARG,32,2002,0.03591543289873371
argentina,ARG,32,2003,0.0365396806252767
argentina,ARG,32,2004,0.4290900202936817
argentina,ARG,32,2005,0.3847222436049626
argentina,ARG,32,2006,0.41814402787921956
argentina,ARG,32,2007,0.34335142766923193
argentina,ARG,32,2008,0.3227496691075447
argentina,ARG,32,2009,0.4697700128538364
argentina,ARG,32,2010,0.5149599565121876
argentina,ARG,32,2011,0.6510498875624522
argentina,ARG,32,2012,0.7535404830903796
argentina,ARG,32,2013,0.7982882264756361
argentina,ARG,32,2014,0.7769506855015295
argentina,ARG,32,2015,0.7878814472326405
argentina,ARG,32,2016,0.7684203044750515
argentina,ARG,32,2017,0.9384565109543038
bahamas,BHS,44,1960,0.0
bahamas,BHS,44,1961,0.0
bahamas,BHS,44,1962,0.0
bahamas,BHS,44,1963,0.0
bahamas,BHS,44,1964,0.0
bahamas,BHS,44,1965,0.0
bahamas,BHS,44,1966,0.0
bahamas,BHS,44,1967,0.0
bahamas,BHS,44,1968,0.0
bahamas,BHS,44,1969,0.0
bahamas,BHS,44,1970,0.0
bahamas,BHS,44,1971,0.0
bahamas,BHS,44,1972,0.0
bahamas,BHS,44,1973,0.0
bahamas,BHS,44,1974,0.0
bahamas,BHS,44,1975,0.0
bahamas,BHS,44,1976,0.0
bahamas,BHS,44,1977,0.0
bahamas,BHS,44,1978,0.0
bahamas,BHS,44,1979,0.0
bahamas,BHS,44,1980,0.0
bahamas,BHS,44,1981,0.0
bahamas,BHS,44,1982,0.0
bahamas,BHS,44,1983,0.0
bahamas,BHS,44,1984,0.0
bahamas,BHS,44,1985,0.0
bahamas,BHS,44,1986,0.0
bahamas,BHS,44,1987,0.0
bahamas,BHS,44,1988,0.0
bahamas,BHS,44,1989,0.0
bahamas,BHS,44,1990,0.0
bahamas,BHS,44,1991,0.0
bahamas,BHS,44,1992,0.0
bahamas,BHS,44,1993,0.0
bahamas,BHS,44,1994,0.0
bahamas,BHS,44,1995,0.0
bahamas,BHS,44,1996,0.0
bahamas,BHS,44,1997,0.0
bahamas,BHS,44,1998,0.0
bahamas,BHS,44,1999,0.0
bahamas,BHS,44,2000,0.0
bahamas,BHS,44,2001,0.0
bahamas,BHS,44,2002,0.0
bahamas,BHS,44,2003,0.0
bahamas,BHS,44,2004,0.0
bahamas,BHS,44,2005,0.0
bahamas,BHS,44,2006,0.0
bahamas,BHS,44,2007,0.0
bahamas,BHS,44,2008,0.0
bahamas,BHS,44,2009,0.0
bahamas,BHS,44,2010,0.0
bahamas,BHS,44,2011,0.0
bahamas,BHS,44,2012,0.0
bahamas,BHS,44,2013,0.0
bahamas,BHS,44,2014,0.0
bahamas,BHS,44,2015,0.0
bahamas,BHS,44,2016,0.0
bahamas,BHS,44,2017,0.0
barbados,BRB,52,1960,0.0
barbados,BRB,52,1961,0.0
barbados,BRB,52,1962,0.0
barbados,BRB,52,1963,0.0
barbados,BRB,52,1964,0.0
barbados,BRB,52,1965,0.0
barbados,BRB,52,1966,0.0
barbados,BRB,52,1967,0.0
barbados,BRB,52,1968,0.0
barbados,BRB,52,1969,0.0
barbados,BRB,52,1970,0.0
barbados,BRB,52,1971,0.0
barbados,BRB,52,1972,0.0
barbados,BRB,52,1973,0.0
barbados,BRB,52,1974,0.0
barbados,BRB,52,1975,0.0
barbados,BRB,52,1976,0.0
barbados,BRB,52,1977,0.0
barbados,BRB,52,1978,0.0
barbados,BRB,52,1979,0.0
barbados,BRB,52,1980,0.0
barbados,BRB,52,1981,0.0
barbados,BRB,52,1982,0.0
barbados,BRB,52,1983,0.0
barbados,BRB,52,1984,0.0
barbados,BRB,52,1985,0.0
barbados,BRB,52,1986,0.0
barbados,BRB,52,1987,0.0
barbados,BRB,52,1988,0.0
barbados,BRB,52,1989,0.0
barbados,BRB,52,1990,0.0
barbados,BRB,52,1991,0.0
barbados,BRB,52,1992,0.0
barbados,BRB,52,1993,0.0
barbados,BRB,52,1994,0.0
barbados,BRB,52,1995,0.0
barbados,BRB,52,1996,0.0
barbados,BRB,52,1997,0.0
barbados,BRB,52,1998,0.0
barbados,BRB,52,1999,0.0
barbados,BRB,52,2000,0.0
barbados,BRB,52,2001,0.0
barbados,BRB,52,2002,0.0
barbados,BRB,52,2003,0.0
barbados,BRB,52,2004,0.0
barbados,BRB,52,2005,0.0
barbados,BRB,52,2006,0.0
barbados,BRB,52,2007,0.0
barbados,BRB,52,2008,0.0
barbados,BRB,52,2009,0.0
barbados,BRB,52,2010,0.0
barbados,BRB,52,2011,0.0
barbados,BRB,52,2012,0.0
barbados,BRB,52,2013,0.0
barbados,BRB,52,2014,0.0
barbados,BRB,52,2015,0.0
barbados,BRB,52,2016,0.0
barbados,BRB,52,2017,0.0
belize,BLZ,84,1960,0.0
belize,BLZ,84,1961,0.0
belize,BLZ,84,1962,0.0
belize,BLZ,84,1963,0.0
belize,BLZ,84,1964,0.0
belize,BLZ,84,1965,0.0
belize,BLZ,84,1966,0.0
belize,BLZ,84,1967,0.0
belize,BLZ,84,1968,0.0
belize,BLZ,84,1969,0.0
belize,BLZ,84,1970,0.0
belize,BLZ,84,1971,0.0
belize,BLZ,84,1972,0.0
belize,BLZ,84,1973,0.0
belize,BLZ,84,1974,0.0
belize,BLZ,84,1975,0.0
belize,BLZ,84,1976,0.0
belize,BLZ,84,1977,0.0
belize,BLZ,84,1978,0.0
belize,BLZ,84,1979,0.0
belize,BLZ,84,1980,0.0
belize,BLZ,84,1981,0.0
belize,BLZ,84,1982,0.0
belize,BLZ,84,1983,0.0
belize,BLZ,84,1984,0.0
belize,BLZ,84,1985,0.0
belize,BLZ,84,1986,0.0
belize,BLZ,84,1987,0.0
belize,BLZ,84,1988,0.0
belize,BLZ,84,1989,0.0
belize,BLZ,84,1990,0.0
belize,BLZ,84,1991,0.0
belize,BLZ,84,1992,0.0
belize,BLZ,84,1993,0.0
belize,BLZ,84,1994,0.0
belize,BLZ,84,1995,0.0
belize,BLZ,84,1996,0.0
belize,BLZ,84,1997,0.0
belize,BLZ,84,1998,0.0
belize,BLZ,84,1999,0.0
belize,BLZ,84,2000,0.0
belize,BLZ,84,2001,0.0
belize,BLZ,84,2002,0.0
belize,BLZ,84,2003,0.0
belize,BLZ,84,2004,0.0
belize,BLZ,84,2005,0.0
