file,value
avgmass_lvst_animal_buffalo_kg,315.0
avgmass_lvst_animal_cattle_dairy_kg,508.0
avgmass_lvst_animal_cattle_nondairy_kg,303.0
avgmass_lvst_animal_chickens_kg,1.1
avgmass_lvst_animal_goats_kg,24.0
avgmass_lvst_animal_horses_kg,238.0
avgmass_lvst_animal_mules_kg,130.0
avgmass_lvst_animal_pigs_kg,65.0
avgmass_lvst_animal_sheep_kg,31.0
deminit_frst_wood_home_use_kg_per_hh,20.0
demscalar_soil_fertilizer_n_per_area,1.0
demscalar_soil_liming_per_area,1.0
ef_agrc_anaerobicdom_rice_kg_ch4_ha,248.54
ef_agrc_biomass_bevs_and_spices_tonne_co2_ha,0.2242
ef_agrc_biomass_burning_n2o,7e-05
ef_agrc_biomass_fruits_tonne_co2_ha,0.1566
ef_agrc_biomass_nuts_tonne_co2_ha,0.1566
ef_agrc_biomass_other_woody_perennial_tonne_co2_ha,0.3118
ef_frst_c_per_wood_products,0.5
ef_frst_forestfires_mangroves_co2,1.58
ef_frst_forestfires_primary_co2,1.58
ef_frst_forestfires_secondary_co2,1.58
ef_frst_forestmethane_mangroves_kt_ch4_ha,1e-06
ef_frst_forestmethane_primary_kt_ch4_ha,1e-06
ef_frst_forestmethane_secondary_kt_ch4_ha,1e-06
ef_frst_sequestration_mangroves_kt_co2_ha,0.0021
ef_frst_sequestration_primary_kt_co2_ha,0.0024
ef_frst_sequestration_secondary_kt_co2_ha,0.0012
ef_lndu_boc_wetlands_gg_ch4_ha,8.950000000000001e-05
ef_lndu_conv_croplands_to_croplands_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_grasslands_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_other_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_settlements_gg_co2_ha,0.0
ef_lndu_conv_croplands_to_wetlands_gg_co2_ha,1e-05
ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha,0.0007708330000000001
ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha,0.0
ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha,0.0
ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha,0.0
ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha,0.001064677
ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha,0.0005
ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,0.0005
ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha,0.0003
ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha,0.00021535
ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha,0.0
ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha,0.0
