sector,var
CircularEconomy,area_gnrl_country_ha
CircularEconomy,density_wali_kg_n_per_m3_ww_industrial
CircularEconomy,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_advanced_anaerobic_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_latrine_improved_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_latrine_unimproved_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_primary_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_secondary_aerobic_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_secondary_anaerobic_g_n2o_per_g_n
CircularEconomy,ef_trww_treated_septic_g_n2o_per_g_n
CircularEconomy,ef_trww_untreated_no_sewerage_g_n2o_per_g_n
CircularEconomy,ef_trww_untreated_with_sewerage_g_n2o_per_g_n
CircularEconomy,ef_waso_biogas_kg_ch4_per_kg_food
CircularEconomy,ef_waso_biogas_kg_ch4_per_kg_sludge
CircularEconomy,ef_waso_biogas_kg_ch4_per_kg_yard
CircularEconomy,ef_waso_compost_kg_ch4_per_kg_food
CircularEconomy,ef_waso_compost_kg_ch4_per_kg_sludge
CircularEconomy,ef_waso_compost_kg_ch4_per_kg_yard
CircularEconomy,ef_waso_compost_kg_n2o_per_kg_food
CircularEconomy,ef_waso_compost_kg_n2o_per_kg_sludge
CircularEconomy,ef_waso_compost_kg_n2o_per_kg_yard
CircularEconomy,ef_waso_incineration_kg_ch4_per_kg_isw
CircularEconomy,ef_waso_incineration_kg_ch4_per_kg_msw
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_food
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_glass
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_metal
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_nappies
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_other
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_paper
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_plastic
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_sludge
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_textiles
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_wood
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_yard
CircularEconomy,elasticity_gnrl_rate_occupancy_to_gdppc
CircularEconomy,elasticity_protein_in_diet_to_gdppc
CircularEconomy,elasticity_waso_msw_to_gdppc_chemical_industrial
CircularEconomy,elasticity_waso_msw_to_gdppc_food
CircularEconomy,elasticity_waso_msw_to_gdppc_glass
CircularEconomy,elasticity_waso_msw_to_gdppc_metal
CircularEconomy,elasticity_waso_msw_to_gdppc_nappies
CircularEconomy,elasticity_waso_msw_to_gdppc_other
CircularEconomy,elasticity_waso_msw_to_gdppc_paper
CircularEconomy,elasticity_waso_msw_to_gdppc_plastic
CircularEconomy,elasticity_waso_msw_to_gdppc_rubber_leather
CircularEconomy,elasticity_waso_msw_to_gdppc_sludge
CircularEconomy,elasticity_waso_msw_to_gdppc_textiles
CircularEconomy,elasticity_waso_msw_to_gdppc_wood
CircularEconomy,elasticity_waso_msw_to_gdppc_yard
CircularEconomy,factor_waso_waste_per_capita_scalar_chemical_industrial
CircularEconomy,factor_waso_waste_per_capita_scalar_food
CircularEconomy,factor_waso_waste_per_capita_scalar_glass
CircularEconomy,factor_waso_waste_per_capita_scalar_metal
CircularEconomy,factor_waso_waste_per_capita_scalar_nappies
CircularEconomy,factor_waso_waste_per_capita_scalar_other
CircularEconomy,factor_waso_waste_per_capita_scalar_paper
CircularEconomy,factor_waso_waste_per_capita_scalar_plastic
CircularEconomy,factor_waso_waste_per_capita_scalar_rubber_leather
CircularEconomy,factor_waso_waste_per_capita_scalar_sludge
CircularEconomy,factor_waso_waste_per_capita_scalar_textiles
CircularEconomy,factor_waso_waste_per_capita_scalar_wood
CircularEconomy,factor_waso_waste_per_capita_scalar_yard
CircularEconomy,frac_gnrl_eating_red_meat
CircularEconomy,frac_sludge_compliant_treated_septic
CircularEconomy,frac_trww_n_removed_treated_advanced_aerobic
CircularEconomy,frac_trww_n_removed_treated_advanced_anaerobic
CircularEconomy,frac_trww_n_removed_treated_latrine_improved
CircularEconomy,frac_trww_n_removed_treated_latrine_unimproved
CircularEconomy,frac_trww_n_removed_treated_primary
CircularEconomy,frac_trww_n_removed_treated_secondary_aerobic
