Nation,Year,va_mining_mmm_usd
argentina,2006,2.5905554530917807
bahamas,2006,0.0
belize,2006,6.379145673147173e-05
brazil,2006,12.604069593578549
barbados,2006,0.0
chile,2006,29.856387745945902
colombia,2006,2.4656500564860644
costa_rica,2006,0.023114973689929746
dominican_republic,2006,0.7252969363566486
ecuador,2006,0.08481688243795839
guatemala,2006,0.11334778429472354
guyana,2006,0.11948815866383372
honduras,2006,0.1067448502516419
haiti,2006,0.0
jamaica,2006,0.3692966292195731
mexico,2006,3.4363463002436747
nicaragua,2006,0.02406907813375455
panama,2006,0.0
peru,2006,13.594560218202258
paraguay,2006,0.0
el_salvador,2006,0.0
uruguay,2006,0.05860202350047044
argentina,2007,2.210475594313455
bahamas,2007,0.0
belize,2007,6.433063230207415e-05
brazil,2007,23.37722369469107
barbados,2007,0.0
chile,2007,30.757362592754482
colombia,2007,2.6184526211439225
costa_rica,2007,0.03784299881421567
dominican_republic,2007,1.237597382203032
ecuador,2007,0.05166924900729746
guatemala,2007,0.2030126535358598
guyana,2007,0.16904960229101168
honduras,2007,0.08479311073917818
haiti,2007,0.0
jamaica,2007,0.40518071014167023
mexico,2007,3.9870655443057332
nicaragua,2007,0.02834913006058752
panama,2007,0.0
peru,2007,15.855212373079898
paraguay,2007,0.0
el_salvador,2007,0.0
uruguay,2007,0.051729398365654836
argentina,2008,1.6455658119167111
bahamas,2008,0.0
belize,2008,7.669348939134996e-05
brazil,2008,29.626296351776176
barbados,2008,0.0
chile,2008,25.335184515121846
colombia,2008,1.0689889648597273
costa_rica,2008,0.003147627394397767
dominican_republic,2008,0.10429686614861004
ecuador,2008,0.01715887294782064
guatemala,2008,0.17897601743857777
guyana,2008,0.16719204626033568
honduras,2008,0.022064503205312867
haiti,2008,0.0
jamaica,2008,0.26558523596764255
mexico,2008,3.389978084431464
nicaragua,2008,0.00805626065247411
panama,2008,0.0
peru,2008,13.98538224555874
paraguay,2008,0.0
el_salvador,2008,0.0
uruguay,2008,0.04048741507513926
argentina,2009,1.5007484405791534
bahamas,2009,0.0
belize,2009,9.154655573403264e-05
brazil,2009,9.360914071680522
barbados,2009,0.0
chile,2009,15.380567969772914
colombia,2009,1.247312718567352
costa_rica,2009,0.0035350723808650498
dominican_republic,2009,0.049437155459326705
ecuador,2009,0.10865099254859187
guatemala,2009,0.22877543517728782
guyana,2009,0.19735659466366215
honduras,2009,0.043301748586138375
haiti,2009,0.0
jamaica,2009,0.16068197643821358
mexico,2009,2.962081963680988
nicaragua,2009,0.008567478030337623
panama,2009,0.016929049069050503
peru,2009,11.00645583557842
paraguay,2009,0.0
el_salvador,2009,0.0
uruguay,2009,0.047000227624602334
argentina,2010,2.8894819834960734
bahamas,2010,0.0
belize,2010,0.0
brazil,2010,27.78447702566921
barbados,2010,0.0
chile,2010,22.65490555765457
colombia,2010,1.7181989971158504
costa_rica,2010,0.00812835613534158
dominican_republic,2010,0.06506583477935257
ecuador,2010,0.11587588829380233
guatemala,2010,0.3289036488114644
guyana,2010,0.2423951028738393
honduras,2010,0.09275367266348185
haiti,2010,0.0
jamaica,2010,0.16510945178456626
mexico,2010,5.08901242944438
nicaragua,2010,0.17796402988089619
panama,2010,0.024370912426638556
peru,2010,15.07463746291182
paraguay,2010,0.0
el_salvador,2010,0.0
uruguay,2010,0.042514566589530435
argentina,2011,3.025877407988543
bahamas,2011,0.0
belize,2011,0.0
brazil,2011,32.10426268354607
barbados,2011,0.0
chile,2011,24.540249757359963
colombia,2011,1.947106604763177
costa_rica,2011,0.016268351268499542
dominican_republic,2011,0.17045723866260507
ecuador,2011,0.16643348574838973
guatemala,2011,0.58471449072066
guyana,2011,0.3742448609648635
honduras,2011,0.05270889807700845
haiti,2011,0.0
jamaica,2011,0.21592757734586587
mexico,2011,9.157465265748051
nicaragua,2011,0.34208455888476796
panama,2011,0.058499796223440335
peru,2011,17.68641438329298
paraguay,2011,0.0
el_salvador,2011,0.0
uruguay,2011,0.048849976132686344
argentina,2012,2.50487569457174
bahamas,2012,0.0
belize,2012,0.0
brazil,2012,23.182140593054214
barbados,2012,0.0
chile,2012,19.048929471382127
colombia,2012,1.7810757542802385
costa_rica,2012,0.01246142769743942
dominican_republic,2012,0.23989499271805126
ecuador,2012,0.16695495305522087
guatemala,2012,0.3246124485324159
guyana,2012,0.4287372693471989
honduras,2012,0.063580741862397
haiti,2012,0.0
jamaica,2012,0.16141085263211843
mexico,2012,8.655766500203141
nicaragua,2012,0.3283482707267334
panama,2012,0.0694079557135668
peru,2012,14.451073646335495
paraguay,2012,0.0
el_salvador,2012,0.0
uruguay,2012,0.048073434553180104
argentina,2013,1.3685256592073662
bahamas,2013,0.0
belize,2013,0.0
brazil,2013,25.460069240408192
barbados,2013,0.0
chile,2013,16.333391622188817
colombia,2013,0.9534158210419179
costa_rica,2013,0.0018023471304577541
dominican_republic,2013,0.605796881219486
ecuador,2013,0.15714281723416051
guatemala,2013,0.22777199071292106
guyana,2013,0.2893821534514898
honduras,2013,0.014606425596384495
haiti,2013,0.0
jamaica,2013,0.1525629756864435
mexico,2013,6.512279153668674
nicaragua,2013,0.33163083893279377
panama,2013,0.04054894112599609
peru,2013,11.252389786136698
paraguay,2013,0.0
el_salvador,2013,0.0
uruguay,2013,0.03225378875454123
argentina,2014,1.3771286483152643
bahamas,2014,0.0
belize,2014,0.0
brazil,2014,15.312253167655378
barbados,2014,0.0
chile,2014,14.622267151021545
colombia,2014,0.7541833506944936
costa_rica,2014,0.0012507274236735377
dominican_republic,2014,0.6478087274361921
ecuador,2014,0.08848456663280903
guatemala,2014,0.6175977218678044
guyana,2014,0.17424071145048597
honduras,2014,0.05332331220218443
haiti,2014,0.0
jamaica,2014,0.1539551280605158
mexico,2014,4.707426535879361
nicaragua,2014,0.2195906583822913
panama,2014,0.03653775786122717
peru,2014,7.831283948337631
paraguay,2014,0.0
el_salvador,2014,0.0
uruguay,2014,0.021352505875511716
