year,country,value,model
1961,argentina,,AFOLU
1961,bahamas,,AFOLU
1961,barbados,,AFOLU
1961,belize,,AFOLU
1961,brazil,,AFOLU
1961,chile,,AFOLU
1961,colombia,,AFOLU
1961,costa_rica,,AFOLU
1961,dominican_republic,,AFOLU
1961,ecuador,,AFOLU
1961,el_salvador,,AFOLU
1961,guatemala,,AFOLU
1961,guyana,,AFOLU
1961,haiti,,AFOLU
1961,honduras,,AFOLU
1961,jamaica,,AFOLU
1961,mexico,,AFOLU
1961,nicaragua,,AFOLU
1961,panama,,AFOLU
1961,paraguay,,AFOLU
1961,peru,,AFOLU
1961,suriname,,AFOLU
1961,trinidad_and_tobago,,AFOLU
1961,uruguay,,AFOLU
1962,argentina,,AFOLU
1962,bahamas,,AFOLU
1962,barbados,,AFOLU
1962,belize,,AFOLU
1962,brazil,,AFOLU
1962,chile,,AFOLU
1962,colombia,,AFOLU
1962,costa_rica,,AFOLU
1962,dominican_republic,,AFOLU
1962,ecuador,,AFOLU
1962,el_salvador,,AFOLU
1962,guatemala,,AFOLU
1962,guyana,,AFOLU
1962,haiti,,AFOLU
1962,honduras,,AFOLU
1962,jamaica,,AFOLU
1962,mexico,,AFOLU
1962,nicaragua,,AFOLU
1962,panama,,AFOLU
1962,paraguay,,AFOLU
1962,peru,,AFOLU
1962,suriname,,AFOLU
1962,trinidad_and_tobago,,AFOLU
1962,uruguay,,AFOLU
1963,argentina,,AFOLU
1963,bahamas,,AFOLU
1963,barbados,,AFOLU
1963,belize,,AFOLU
1963,brazil,,AFOLU
1963,chile,,AFOLU
1963,colombia,,AFOLU
1963,costa_rica,,AFOLU
1963,dominican_republic,,AFOLU
1963,ecuador,,AFOLU
1963,el_salvador,,AFOLU
1963,guatemala,,AFOLU
1963,guyana,,AFOLU
1963,haiti,,AFOLU
1963,honduras,,AFOLU
1963,jamaica,,AFOLU
1963,mexico,,AFOLU
1963,nicaragua,,AFOLU
1963,panama,,AFOLU
1963,paraguay,,AFOLU
1963,peru,,AFOLU
1963,suriname,,AFOLU
1963,trinidad_and_tobago,,AFOLU
1963,uruguay,,AFOLU
1964,argentina,,AFOLU
1964,bahamas,,AFOLU
1964,barbados,,AFOLU
1964,belize,,AFOLU
1964,brazil,,AFOLU
1964,chile,,AFOLU
1964,colombia,,AFOLU
1964,costa_rica,,AFOLU
1964,dominican_republic,,AFOLU
1964,ecuador,,AFOLU
1964,el_salvador,,AFOLU
1964,guatemala,,AFOLU
1964,guyana,,AFOLU
1964,haiti,,AFOLU
1964,honduras,,AFOLU
1964,jamaica,,AFOLU
1964,mexico,,AFOLU
1964,nicaragua,,AFOLU
1964,panama,,AFOLU
1964,paraguay,,AFOLU
1964,peru,,AFOLU
1964,suriname,,AFOLU
1964,trinidad_and_tobago,,AFOLU
1964,uruguay,,AFOLU
1965,argentina,,AFOLU
1965,bahamas,,AFOLU
1965,barbados,,AFOLU
1965,belize,,AFOLU
1965,brazil,,AFOLU
1965,chile,,AFOLU
1965,colombia,,AFOLU
1965,costa_rica,,AFOLU
1965,dominican_republic,,AFOLU
1965,ecuador,,AFOLU
1965,el_salvador,,AFOLU
1965,guatemala,,AFOLU
1965,guyana,,AFOLU
1965,haiti,,AFOLU
1965,honduras,,AFOLU
1965,jamaica,,AFOLU
1965,mexico,,AFOLU
1965,nicaragua,,AFOLU
1965,panama,,AFOLU
1965,paraguay,,AFOLU
1965,peru,,AFOLU
1965,suriname,,AFOLU
1965,trinidad_and_tobago,,AFOLU
1965,uruguay,,AFOLU
1966,argentina,,AFOLU
1966,bahamas,,AFOLU
1966,barbados,,AFOLU
1966,belize,,AFOLU
1966,brazil,,AFOLU
1966,chile,,AFOLU
1966,colombia,,AFOLU
1966,costa_rica,,AFOLU
1966,dominican_republic,,AFOLU
1966,ecuador,,AFOLU
1966,el_salvador,,AFOLU
1966,guatemala,,AFOLU
1966,guyana,,AFOLU
1966,haiti,,AFOLU
1966,honduras,,AFOLU
1966,jamaica,,AFOLU
1966,mexico,,AFOLU
1966,nicaragua,,AFOLU
1966,panama,,AFOLU
1966,paraguay,,AFOLU
1966,peru,,AFOLU
1966,suriname,,AFOLU
1966,trinidad_and_tobago,,AFOLU
1966,uruguay,,AFOLU
1967,argentina,,AFOLU
1967,bahamas,,AFOLU
1967,barbados,,AFOLU
1967,belize,,AFOLU
1967,brazil,,AFOLU
1967,chile,,AFOLU
1967,colombia,,AFOLU
1967,costa_rica,,AFOLU
1967,dominican_republic,,AFOLU
1967,ecuador,,AFOLU
1967,el_salvador,,AFOLU
1967,guatemala,,AFOLU
1967,guyana,,AFOLU
1967,haiti,,AFOLU
1967,honduras,,AFOLU
1967,jamaica,,AFOLU
1967,mexico,,AFOLU
1967,nicaragua,,AFOLU
1967,panama,,AFOLU
1967,paraguay,,AFOLU
1967,peru,,AFOLU
1967,suriname,,AFOLU
1967,trinidad_and_tobago,,AFOLU
1967,uruguay,,AFOLU
1968,argentina,,AFOLU
1968,bahamas,,AFOLU
1968,barbados,,AFOLU
1968,belize,,AFOLU
1968,brazil,,AFOLU
1968,chile,,AFOLU
1968,colombia,,AFOLU
1968,costa_rica,,AFOLU
1968,dominican_republic,,AFOLU
1968,ecuador,,AFOLU
1968,el_salvador,,AFOLU
1968,guatemala,,AFOLU
1968,guyana,,AFOLU
1968,haiti,,AFOLU
1968,honduras,,AFOLU
1968,jamaica,,AFOLU
1968,mexico,,AFOLU
1968,nicaragua,,AFOLU
1968,panama,,AFOLU
1968,paraguay,,AFOLU
1968,peru,,AFOLU
1968,suriname,,AFOLU
1968,trinidad_and_tobago,,AFOLU
1968,uruguay,,AFOLU
1969,argentina,,AFOLU
1969,bahamas,,AFOLU
1969,barbados,,AFOLU
1969,belize,,AFOLU
1969,brazil,,AFOLU
1969,chile,,AFOLU
1969,colombia,,AFOLU
1969,costa_rica,,AFOLU
1969,dominican_republic,,AFOLU
1969,ecuador,,AFOLU
1969,el_salvador,,AFOLU
1969,guatemala,,AFOLU
1969,guyana,,AFOLU
1969,haiti,,AFOLU
1969,honduras,,AFOLU
1969,jamaica,,AFOLU
1969,mexico,,AFOLU
1969,nicaragua,,AFOLU
1969,panama,,AFOLU
1969,paraguay,,AFOLU
1969,peru,,AFOLU
1969,suriname,,AFOLU
1969,trinidad_and_tobago,,AFOLU
1969,uruguay,,AFOLU
1970,argentina,,AFOLU
1970,bahamas,,AFOLU
1970,barbados,,AFOLU
1970,belize,,AFOLU
1970,brazil,,AFOLU
1970,chile,,AFOLU
1970,colombia,,AFOLU
1970,costa_rica,,AFOLU
1970,dominican_republic,,AFOLU
1970,ecuador,,AFOLU
1970,el_salvador,,AFOLU
1970,guatemala,,AFOLU
1970,guyana,,AFOLU
1970,haiti,,AFOLU
1970,honduras,,AFOLU
1970,jamaica,,AFOLU
1970,mexico,,AFOLU
1970,nicaragua,,AFOLU
1970,panama,,AFOLU
1970,paraguay,,AFOLU
1970,peru,,AFOLU
1970,suriname,,AFOLU
1970,trinidad_and_tobago,,AFOLU
1970,uruguay,,AFOLU
1971,argentina,,AFOLU
1971,bahamas,,AFOLU
1971,barbados,,AFOLU
1971,belize,,AFOLU
1971,brazil,,AFOLU
1971,chile,,AFOLU
1971,colombia,,AFOLU
1971,costa_rica,,AFOLU
1971,dominican_republic,,AFOLU
1971,ecuador,,AFOLU
1971,el_salvador,,AFOLU
1971,guatemala,,AFOLU
1971,guyana,,AFOLU
1971,haiti,,AFOLU
1971,honduras,,AFOLU
1971,jamaica,,AFOLU
1971,mexico,,AFOLU
1971,nicaragua,,AFOLU
1971,panama,,AFOLU
1971,paraguay,,AFOLU
1971,peru,,AFOLU
1971,suriname,,AFOLU
1971,trinidad_and_tobago,,AFOLU
1971,uruguay,,AFOLU
1972,argentina,,AFOLU
1972,bahamas,,AFOLU
1972,barbados,,AFOLU
1972,belize,,AFOLU
1972,brazil,,AFOLU
1972,chile,,AFOLU
1972,colombia,,AFOLU
1972,costa_rica,,AFOLU
1972,dominican_republic,,AFOLU
1972,ecuador,,AFOLU
1972,el_salvador,,AFOLU
1972,guatemala,,AFOLU
1972,guyana,,AFOLU
1972,haiti,,AFOLU
1972,honduras,,AFOLU
1972,jamaica,,AFOLU
1972,mexico,,AFOLU
1972,nicaragua,,AFOLU
1972,panama,,AFOLU
1972,paraguay,,AFOLU
1972,peru,,AFOLU
1972,suriname,,AFOLU
1972,trinidad_and_tobago,,AFOLU
1972,uruguay,,AFOLU
1973,argentina,,AFOLU
1973,bahamas,,AFOLU
1973,barbados,,AFOLU
1973,belize,,AFOLU
1973,brazil,,AFOLU
1973,chile,,AFOLU
1973,colombia,,AFOLU
1973,costa_rica,,AFOLU
1973,dominican_republic,,AFOLU
1973,ecuador,,AFOLU
1973,el_salvador,,AFOLU
1973,guatemala,,AFOLU
1973,guyana,,AFOLU
1973,haiti,,AFOLU
1973,honduras,,AFOLU
1973,jamaica,,AFOLU
1973,mexico,,AFOLU
1973,nicaragua,,AFOLU
1973,panama,,AFOLU
1973,paraguay,,AFOLU
1973,peru,,AFOLU
1973,suriname,,AFOLU
1973,trinidad_and_tobago,,AFOLU
1973,uruguay,,AFOLU
1974,argentina,,AFOLU
1974,bahamas,,AFOLU
1974,barbados,,AFOLU
1974,belize,,AFOLU
1974,brazil,,AFOLU
1974,chile,,AFOLU
1974,colombia,,AFOLU
1974,costa_rica,,AFOLU
1974,dominican_republic,,AFOLU
1974,ecuador,,AFOLU
1974,el_salvador,,AFOLU
1974,guatemala,,AFOLU
1974,guyana,,AFOLU
1974,haiti,,AFOLU
1974,honduras,,AFOLU
1974,jamaica,,AFOLU
1974,mexico,,AFOLU
1974,nicaragua,,AFOLU
1974,panama,,AFOLU
1974,paraguay,,AFOLU
1974,peru,,AFOLU
1974,suriname,,AFOLU
1974,trinidad_and_tobago,,AFOLU
1974,uruguay,,AFOLU
1975,argentina,,AFOLU
1975,bahamas,,AFOLU
1975,barbados,,AFOLU
1975,belize,,AFOLU
1975,brazil,,AFOLU
1975,chile,,AFOLU
1975,colombia,,AFOLU
1975,costa_rica,,AFOLU
1975,dominican_republic,,AFOLU
1975,ecuador,,AFOLU
1975,el_salvador,,AFOLU
1975,guatemala,,AFOLU
1975,guyana,,AFOLU
1975,haiti,,AFOLU
1975,honduras,,AFOLU
1975,jamaica,,AFOLU
1975,mexico,,AFOLU
1975,nicaragua,,AFOLU
1975,panama,,AFOLU
1975,paraguay,,AFOLU
1975,peru,,AFOLU
1975,suriname,,AFOLU
1975,trinidad_and_tobago,,AFOLU
1975,uruguay,,AFOLU
1976,argentina,,AFOLU
1976,bahamas,,AFOLU
1976,barbados,,AFOLU
1976,belize,,AFOLU
1976,brazil,,AFOLU
1976,chile,,AFOLU
1976,colombia,,AFOLU
1976,costa_rica,,AFOLU
1976,dominican_republic,,AFOLU
1976,ecuador,,AFOLU
1976,el_salvador,,AFOLU
1976,guatemala,,AFOLU
1976,guyana,,AFOLU
1976,haiti,,AFOLU
1976,honduras,,AFOLU
1976,jamaica,,AFOLU
1976,mexico,,AFOLU
1976,nicaragua,,AFOLU
1976,panama,,AFOLU
1976,paraguay,,AFOLU
1976,peru,,AFOLU
1976,suriname,,AFOLU
1976,trinidad_and_tobago,,AFOLU
1976,uruguay,,AFOLU
1977,argentina,,AFOLU
1977,bahamas,,AFOLU
1977,barbados,,AFOLU
1977,belize,,AFOLU
1977,brazil,,AFOLU
1977,chile,,AFOLU
1977,colombia,,AFOLU
1977,costa_rica,,AFOLU
1977,dominican_republic,,AFOLU
1977,ecuador,,AFOLU
1977,el_salvador,,AFOLU
1977,guatemala,,AFOLU
1977,guyana,,AFOLU
1977,haiti,,AFOLU
1977,honduras,,AFOLU
1977,jamaica,,AFOLU
1977,mexico,,AFOLU
1977,nicaragua,,AFOLU
1977,panama,,AFOLU
1977,paraguay,,AFOLU
1977,peru,,AFOLU
1977,suriname,,AFOLU
1977,trinidad_and_tobago,,AFOLU
1977,uruguay,,AFOLU
1978,argentina,,AFOLU
1978,bahamas,,AFOLU
1978,barbados,,AFOLU
1978,belize,,AFOLU
1978,brazil,,AFOLU
1978,chile,,AFOLU
1978,colombia,,AFOLU
1978,costa_rica,,AFOLU
1978,dominican_republic,,AFOLU
1978,ecuador,,AFOLU
1978,el_salvador,,AFOLU
1978,guatemala,,AFOLU
1978,guyana,,AFOLU
1978,haiti,,AFOLU
1978,honduras,,AFOLU
1978,jamaica,,AFOLU
1978,mexico,,AFOLU
1978,nicaragua,,AFOLU
1978,panama,,AFOLU
1978,paraguay,,AFOLU
1978,peru,,AFOLU
1978,suriname,,AFOLU
1978,trinidad_and_tobago,,AFOLU
1978,uruguay,,AFOLU
1979,argentina,,AFOLU
1979,bahamas,,AFOLU
1979,barbados,,AFOLU
1979,belize,,AFOLU
1979,brazil,,AFOLU
1979,chile,,AFOLU
1979,colombia,,AFOLU
1979,costa_rica,,AFOLU
1979,dominican_republic,,AFOLU
1979,ecuador,,AFOLU
1979,el_salvador,,AFOLU
1979,guatemala,,AFOLU
1979,guyana,,AFOLU
1979,haiti,,AFOLU
1979,honduras,,AFOLU
1979,jamaica,,AFOLU
1979,mexico,,AFOLU
1979,nicaragua,,AFOLU
1979,panama,,AFOLU
1979,paraguay,,AFOLU
1979,peru,,AFOLU
1979,suriname,,AFOLU
1979,trinidad_and_tobago,,AFOLU
1979,uruguay,,AFOLU
1980,argentina,,AFOLU
1980,bahamas,,AFOLU
1980,barbados,,AFOLU
1980,belize,,AFOLU
1980,brazil,,AFOLU
1980,chile,,AFOLU
1980,colombia,,AFOLU
1980,costa_rica,,AFOLU
1980,dominican_republic,,AFOLU
1980,ecuador,,AFOLU
1980,el_salvador,,AFOLU
1980,guatemala,,AFOLU
1980,guyana,,AFOLU
1980,haiti,,AFOLU
1980,honduras,,AFOLU
1980,jamaica,,AFOLU
1980,mexico,,AFOLU
1980,nicaragua,,AFOLU
1980,panama,,AFOLU
1980,paraguay,,AFOLU
1980,peru,,AFOLU
1980,suriname,,AFOLU
1980,trinidad_and_tobago,,AFOLU
1980,uruguay,,AFOLU
1981,argentina,,AFOLU
1981,bahamas,,AFOLU
1981,barbados,,AFOLU
1981,belize,,AFOLU
1981,brazil,,AFOLU
1981,chile,,AFOLU
1981,colombia,,AFOLU
1981,costa_rica,,AFOLU
1981,dominican_republic,,AFOLU
1981,ecuador,,AFOLU
1981,el_salvador,,AFOLU
1981,guatemala,,AFOLU
1981,guyana,,AFOLU
1981,haiti,,AFOLU
1981,honduras,,AFOLU
1981,jamaica,,AFOLU
1981,mexico,,AFOLU
1981,nicaragua,,AFOLU
1981,panama,,AFOLU
1981,paraguay,,AFOLU
1981,peru,,AFOLU
1981,suriname,,AFOLU
1981,trinidad_and_tobago,,AFOLU
1981,uruguay,,AFOLU
1982,argentina,,AFOLU
1982,bahamas,,AFOLU
1982,barbados,,AFOLU
1982,belize,,AFOLU
1982,brazil,,AFOLU
1982,chile,,AFOLU
1982,colombia,,AFOLU
1982,costa_rica,,AFOLU
1982,dominican_republic,,AFOLU
1982,ecuador,,AFOLU
1982,el_salvador,,AFOLU
1982,guatemala,,AFOLU
1982,guyana,,AFOLU
1982,haiti,,AFOLU
1982,honduras,,AFOLU
1982,jamaica,,AFOLU
1982,mexico,,AFOLU
1982,nicaragua,,AFOLU
1982,panama,,AFOLU
1982,paraguay,,AFOLU
1982,peru,,AFOLU
1982,suriname,,AFOLU
1982,trinidad_and_tobago,,AFOLU
1982,uruguay,,AFOLU
1983,argentina,,AFOLU
1983,bahamas,,AFOLU
1983,barbados,,AFOLU
1983,belize,,AFOLU
1983,brazil,,AFOLU
1983,chile,,AFOLU
1983,colombia,,AFOLU
1983,costa_rica,,AFOLU
1983,dominican_republic,,AFOLU
1983,ecuador,,AFOLU
1983,el_salvador,,AFOLU
1983,guatemala,,AFOLU
1983,guyana,,AFOLU
1983,haiti,,AFOLU
1983,honduras,,AFOLU
1983,jamaica,,AFOLU
1983,mexico,,AFOLU
1983,nicaragua,,AFOLU
1983,panama,,AFOLU
1983,paraguay,,AFOLU
1983,peru,,AFOLU
1983,suriname,,AFOLU
1983,trinidad_and_tobago,,AFOLU
1983,uruguay,,AFOLU
1984,argentina,,AFOLU
1984,bahamas,,AFOLU
1984,barbados,,AFOLU
1984,belize,,AFOLU
1984,brazil,,AFOLU
1984,chile,,AFOLU
1984,colombia,,AFOLU
1984,costa_rica,,AFOLU
1984,dominican_republic,,AFOLU
1984,ecuador,,AFOLU
1984,el_salvador,,AFOLU
1984,guatemala,,AFOLU
1984,guyana,,AFOLU
1984,haiti,,AFOLU
1984,honduras,,AFOLU
1984,jamaica,,AFOLU
1984,mexico,,AFOLU
1984,nicaragua,,AFOLU
1984,panama,,AFOLU
1984,paraguay,,AFOLU
1984,peru,,AFOLU
